bioguide,name,party,state,n,tweets_per_year,tweets_per_day,share_angry,share_dev
S001185,Terri A. Sewell,Democrat,AL,11288,757.0967,2.0742,0.1905,-0.0851
C001068,Steve Cohen,Democrat,TN,16893,1080.7967,2.9611,0.445,0.1802
J000304,Ronny Jackson,Republican,TX,6918,1225.7621,3.3583,0.6417,0.2968
G000583,Josh Gottheimer,Democrat,NJ,13508,1400.6875,3.8375,0.208,-0.1039
C001072,André Carson,Democrat,IN,6921,511.473,1.4013,0.2111,-0.0679
L000585,Darin LaHood,Republican,IL,4520,537.3941,1.4723,0.1688,-0.1554
S001199,Lloyd Smucker,Republican,PA,6778,703.4319,1.9272,0.2037,-0.1095
F000463,Deb Fischer,Republican,NE,9609,707.5419,1.9385,0.139,-0.1388
S001200,Darren Soto,Democrat,FL,10206,1133.6549,3.1059,0.2051,-0.1205
N000189,Dan Newhouse,Republican,WA,4230,365.0863,1.0002,0.1835,-0.1063
B001291,Brian Babin,Republican,TX,6420,551.7542,1.5117,0.4567,0.1637
B000574,"Blumenauer, Earl",Democrat,OR,649,277.7081,0.7608,0.3806,0.0896
N000190,Ralph Norman,Republican,SC,5496,601.3309,1.6475,0.4192,0.0951
S001205,Mary Gay Scanlon,Democrat,PA,11937,1545.5853,4.2345,0.3126,-0.0044
D000626,Warren Davidson,Republican,OH,5385,527.2331,1.4445,0.4221,0.0714
P000048,August Pfluger,Republican,TX,5639,999.6285,2.7387,0.4219,0.0775
J000289,Jim Jordan,Republican,OH,9551,1127.8276,3.0899,0.4683,0.1304
G000595,"Good, Bob",Republican,VA,1730,441.2648,1.2089,0.6514,0.3298
V000130,Juan Vargas,Democrat,CA,4695,350.8035,0.9611,0.2458,-0.0512
W000806,Daniel Webster,Republican,FL,5670,369.1011,1.0112,0.1755,-0.0727
G000590,"Green, Mark",Republican,TN,6920,1167.73,3.1993,0.5176,0.2143
R000103,"Rosendale, Matthew ",Republican,MT,2594,661.1802,1.8115,0.4792,0.1612
A000381,Yassamin Ansari,Democrat,AZ,3512,2150.8054,5.8926,0.6076,0.1898
M001216,Cory Mills,Republican,FL,4858,1337.2323,3.6637,0.3186,-0.0744
H001096,Harriet M. Hageman,Republican,WY,1438,396.7271,1.0869,0.42,0.036
B001319,Katie Boyd Britt,Republican,AL,5060,1388.6466,3.8045,0.2678,-0.1221
G000602,Laura Gillen,Democrat,NY,1105,673.3306,1.8447,0.238,-0.181
S001224,Keith Self,Republican,TX,4535,1250.2077,3.4252,0.5239,0.1282
S001221,Hillary J. Scholten,Democrat,MI,3968,1088.9624,2.9835,0.1852,-0.198
W000830,George Whitesides,Democrat,CA,1025,634.1102,1.7373,0.1629,-0.265
S001165,Albio Sires,Democrat,NJ,5558,479.591,1.3139,0.2217,-0.0445
G000386,Chuck Grassley,Republican,IA,7381,508.3142,1.3926,0.3107,-0.0303
