src,dst,n,anger,sp,dp,cross
P000197,E000299,3,0.31138200002412003,Democrat,Democrat,False
C001117,F000454,3,0.02035170483092467,Democrat,Democrat,False
M001184,K000389,5,0.47507947124540806,Republican,Democrat,True
L000557,C001069,3,0.36380396224558353,Democrat,Democrat,False
S001187,B001281,3,0.1202558862666289,Republican,Democrat,True
C000141,M000702,7,0.03976423878754888,Democrat,Democrat,False
S001181,Y000064,3,0.3427240153153737,Democrat,Republican,True
M001111,C000127,3,0.3395007774233818,Democrat,Democrat,False
L000596,S001214,5,0.4730584040284157,Republican,Republican,False
L000570,H001046,4,0.6082541584037244,Democrat,Democrat,False
M001176,W000779,14,0.17885470909199544,Democrat,Democrat,False
U000031,D000197,4,0.024151161313056946,Republican,Democrat,True
H001076,P000591,3,0.6371617466211319,Democrat,Republican,True
G000560,S001191,5,0.23334931805729867,Republican,Democrat,True
G000546,C001092,12,0.21883458054314056,Republican,Republican,False
S001217,G000359,6,0.3463263089458148,Republican,Republican,False
P000617,M001229,3,0.9645490050315857,Democrat,Democrat,False
D000618,S001232,3,0.052385708317160606,Republican,Republican,False
B001243,H000601,8,0.152322277543135,Republican,Republican,False
B001277,D000563,5,0.15249424576759338,Democrat,Democrat,False
M001160,P000607,3,0.4036018153031667,Democrat,Democrat,False
R000608,W000437,4,0.032284664921462536,Democrat,Republican,True
C001098,B001261,4,0.3207933818921447,Republican,Republican,False
B001135,C001070,3,0.13367676610747972,Republican,Democrat,True
C001095,C001098,3,0.30023686091105145,Republican,Republican,False
G000559,R000577,7,0.5056017985833543,Democrat,Democrat,False
P000197,N000015,3,0.6061096601188183,Democrat,Democrat,False
W000437,H001079,14,0.21270012123776333,Republican,Republican,False
D000563,K000360,7,0.05401766725948879,Democrat,Republican,True
T000461,C001088,3,0.23734935590376458,Republican,Democrat,True
B001277,C001091,4,0.24070176482200623,Democrat,Democrat,False
L000596,S001218,4,0.41542043536901474,Republican,Democrat,True
S001181,C001035,4,0.20717056770808995,Democrat,Republican,True
P000197,M000303,4,0.25589128537103534,Democrat,Republican,True
G000559,E000292,3,0.04979263308147589,Democrat,Democrat,False
J000298,P000617,4,0.454561322927475,Democrat,Democrat,False
E000295,H001091,3,0.19286610806981722,Republican,Republican,False
G000578,M001184,4,0.6415070351213217,Republican,Republican,False
N000191,B001267,3,0.08424335935463508,Democrat,Democrat,False
C001038,B001287,4,0.8391957581043243,Democrat,Democrat,False
W000817,S000148,5,0.5190437011420727,Democrat,Democrat,False
B001302,S001196,3,0.6232438186804453,Republican,Republican,False
M000194,C001108,3,0.8980653087298075,Republican,Republican,False
S001217,O000172,8,0.882247805595398,Republican,Democrat,True
R000605,T000250,4,0.10398222832009196,Republican,Republican,False
C001098,C001056,7,0.4237537829737578,Republican,Republican,False
C001096,H001061,16,0.17678716668160632,Republican,Republican,False
M001184,P000603,7,0.045569853857159615,Republican,Republican,False
G000578,G000596,4,0.43450705148279667,Republican,Republican,False
B001289,R000591,4,0.02575986529700458,Republican,Republican,False
D000563,H001069,3,0.02902074654897054,Democrat,Democrat,False
P000612,W000810,3,0.06004136552413305,Republican,Republican,False
K000382,M001193,3,0.17311680813630423,Democrat,Republican,True
M001184,R000614,5,0.6334747552871705,Republican,Republican,False
M000087,M001137,3,0.06328094005584717,Democrat,Democrat,False
B001302,R000103,4,0.39134529512375593,Republican,Republican,False
D000615,S001185,11,0.015784270722757687,Republican,Democrat,True
R000614,G000590,3,0.5305661459763845,Republican,Republican,False
G000603,S001199,11,0.11457590487870303,Republican,Republican,False
