id,name,party,state,x,y,rt_in,rt_out,dot_in,dot_out,cross_rt_in,cross_dot_in,cross_dot_anger
A000055,Robert B. Aderholt,Republican,AL,0.7718,0.9052,18,3,0,0,0,0,
A000148,Jake Auchincloss,Democrat,MA,0.5541,0.8795,0,14,0,0,0,0,
A000360,Lamar Alexander,Republican,TN,0.6974,0.8593,63,53,24,9,10,0,
A000369,Mark E. Amodei,Republican,NV,0.6872,0.834,15,0,0,0,4,0,
A000370,Alma S. Adams,Democrat,NC,0.6497,0.8894,216,25,0,7,15,0,
A000371,Pete Aguilar,Democrat,CA,0.5985,0.8969,44,16,0,0,0,0,
A000372,Rick W. Allen,Republican,GA,0.7645,0.8632,14,6,0,3,0,0,
A000374,Ralph Abraham,Republican,LA,0.7612,0.8467,3,7,0,0,0,0,
A000375,Jodey C. Arrington,Republican,TX,0.734,0.8955,85,93,0,4,0,0,
A000376,"Allred, Colin",Democrat,TX,0.6335,0.9071,40,18,0,0,3,0,
A000377,"Armstrong, Kelly",Republican,ND,0.7207,0.882,42,318,0,10,6,0,
A000378,Cindy Axne,Democrat,IA,0.6582,0.9022,28,20,4,0,7,0,
A000379,Mark Alford,Republican,MO,0.7621,0.8938,13,21,0,0,0,0,
A000380,Gabe Amo,Democrat,RI,0.5912,0.8272,6,0,0,0,0,0,
A000381,Yassamin Ansari,Democrat,AZ,0.5863,0.8663,46,64,0,3,0,0,
A000382,Angela D. Alsobrooks,Democrat,MD,0.5778,0.9055,33,0,4,0,0,0,
B000213,Joe Barton,Republican,TX,0.7781,0.87,0,32,0,0,0,0,
B000220,Charlie Bass,Republican,NH,0.7063,0.8272,0,8,0,0,0,0,
B000490,"Sanford D. Bishop, Jr.",Democrat,GA,0.5676,0.794,3,0,0,0,0,0,
B000574,"Blumenauer, Earl",Democrat,OR,0.5783,0.8873,29,0,0,0,0,0,
B000668,Cliff Bentz,Republican,OR,0.8048,0.883,4,10,0,0,0,0,
B000711,Barbara Boxer,Democrat,CA,0.6414,0.8589,13,52,19,13,0,0,
B000740,Stephanie I. Bice,Republican,OK,0.7533,0.879,57,50,0,0,0,0,
B000755,Kevin Brady,Republican,TX,0.74,0.8787,267,219,7,3,0,0,
B000825,Lauren Boebert,Republican,CO,0.725,0.9051,99,84,6,13,0,3,0.935
B000944,"Brown, Sherrod",Democrat,OH,0.6452,0.872,193,205,37,25,0,4,0.151
B001135,Richard Burr,Republican,NC,0.6953,0.8606,48,30,15,7,4,0,
B001223,"Bowman, Jamaal",Democrat,NY,0.6158,0.8732,77,95,0,0,0,0,
B001224,"Bush, Cori",Democrat,MO,0.6067,0.8737,95,59,0,0,0,0,
B001230,Tammy Baldwin,Democrat,WI,0.6425,0.8709,330,306,11,13,3,3,0.453
B001236,John Boozman,Republican,AR,0.7311,0.866,192,32,13,7,0,0,
B001243,Marsha Blackburn,Republican,TN,0.711,0.8815,144,13,13,54,0,6,0.518
B001248,"Burgess, Michael",Republican,TX,0.7649,0.8753,54,0,0,0,0,0,
B001257,Gus M. Bilirakis,Republican,FL,0.7101,0.8757,25,50,0,0,6,0,
B001260,Vern Buchanan,Republican,FL,0.7075,0.8996,30,0,0,0,7,0,
B001261,John Barrasso,Republican,WY,0.7061,0.8637,115,447,20,56,0,0,
B001267,Michael F. Bennet,Democrat,CO,0.647,0.8709,129,45,9,14,4,6,0.198
B001270,Karen Bass,Democrat,CA,0.6255,0.8915,303,33,0,3,0,0,
B001273,Diane Black,Republican,TN,0.7545,0.8697,35,41,0,0,0,0,
B001274,Mo Brooks,Republican,AL,0.7132,0.8985,28,27,0,22,0,0,
B001275,"Bucshon, Larry",Republican,IN,0.7254,0.8671,47,117,0,0,3,0,
B001277,Richard Blumenthal,Democrat,CT,0.6438,0.8747,157,144,31,69,0,13,0.418
B001278,Suzanne Bonamici,Democrat,OR,0.6201,0.8815,71,341,0,4,0,0,
B001279,Ron Barber,Democrat,AZ,0.6772,0.9056,15,8,0,0,0,0,
B001280,Kerry Bentivolio,Republican,MI,0.7455,0.8526,0,24,0,0,0,0,
B001281,Joyce Beatty,Democrat,OH,0.6339,0.8875,287,611,3,22,15,3,0.12
B001282,Andy Barr,Republican,KY,0.7013,0.8771,68,70,3,3,4,0,
B001283,Jim Bridenstine,Republican,OK,0.7176,0.9163,18,20,0,0,0,0,
B001285,Julia Brownley,Democrat,CA,0.626,0.9031,25,39,0,0,0,0,
B001286,Cheri Bustos,Democrat,IL,0.6308,0.8902,249,148,6,6,0,0,
B001287,Ami Bera,Democrat,CA,0.6081,0.9101,20,11,4,6,0,0,
