wk,n,anger,anger_dem,anger_rep,baseline,disgust,fear,sadness,joy
2011-01-03,571,0.1614,0.2131,0.1378,0.1712,0.1732,0.086,0.1457,0.4548
2011-01-17,780,0.2151,0.2553,0.2054,0.1778,0.2271,0.0749,0.1061,0.3964
2011-01-24,970,0.1339,0.1388,0.1346,0.1843,0.1429,0.0621,0.0774,0.4917
2011-01-31,937,0.1712,0.1658,0.1695,0.1971,0.1787,0.0904,0.0873,0.4831
2011-02-07,907,0.1843,0.2137,0.1677,0.1843,0.1925,0.0904,0.0848,0.4558
2011-02-14,1202,0.2763,0.2984,0.2671,0.1935,0.2866,0.0864,0.1326,0.3605
2011-02-21,768,0.1579,0.1872,0.1376,0.2027,0.1666,0.0852,0.0832,0.5083
2011-02-28,1175,0.2106,0.2169,0.2107,0.2098,0.2187,0.0973,0.1028,0.4049
2011-03-07,1363,0.2209,0.2324,0.1999,0.2027,0.2341,0.1022,0.1428,0.3739
2011-03-14,1229,0.2098,0.2253,0.1878,0.2027,0.2166,0.0876,0.1036,0.411
2011-03-21,1255,0.1574,0.1316,0.1718,0.2027,0.177,0.0786,0.113,0.4901
2011-03-28,1416,0.2027,0.2284,0.1815,0.2027,0.2135,0.0843,0.0958,0.4061
2011-04-04,1810,0.3038,0.3918,0.2531,0.1913,0.31,0.0948,0.1374,0.3171
2011-04-11,1495,0.2499,0.3007,0.2076,0.2027,0.2593,0.0752,0.1197,0.3773
2011-04-18,789,0.1495,0.1767,0.1227,0.1933,0.166,0.0818,0.0912,0.516
2011-04-25,907,0.1294,0.1357,0.1207,0.1913,0.145,0.1021,0.1056,0.4722
2011-05-02,1569,0.1685,0.1919,0.1511,0.1816,0.1779,0.1261,0.1045,0.4433
2011-05-09,1426,0.1913,0.2527,0.1499,0.1816,0.2001,0.085,0.0836,0.4251
2011-05-16,1637,0.154,0.1989,0.1327,0.1816,0.1661,0.0723,0.0886,0.5168
2011-05-23,1592,0.2046,0.2316,0.1912,0.1816,0.2048,0.0808,0.1014,0.4462
2011-05-30,1210,0.1933,0.1938,0.1936,0.1816,0.2101,0.0896,0.1195,0.4222
2011-06-06,1072,0.145,0.1648,0.133,0.1845,0.1633,0.0919,0.1069,0.4891
2011-06-13,1451,0.1816,0.2121,0.1636,0.1913,0.1947,0.0822,0.1082,0.4404
2011-06-20,1588,0.1736,0.1661,0.1699,0.1933,0.1899,0.1005,0.1185,0.4091
2011-06-27,1252,0.1845,0.1832,0.1889,0.1933,0.2002,0.1008,0.1166,0.4333
2011-07-04,1376,0.2232,0.1852,0.2373,0.1933,0.2477,0.0994,0.1501,0.3973
2011-07-11,1519,0.2535,0.249,0.2547,0.1845,0.2663,0.0992,0.1294,0.3693
2011-07-18,1825,0.2555,0.2638,0.2551,0.1816,0.2682,0.0871,0.1365,0.3451
2011-07-25,2131,0.2755,0.3126,0.2614,0.1816,0.2859,0.0928,0.1336,0.3101
2011-08-01,1507,0.2164,0.2037,0.2232,0.1777,0.2347,0.0886,0.1481,0.3846
2011-08-08,901,0.1737,0.1366,0.1958,0.1845,0.1821,0.0731,0.1124,0.4786
2011-08-15,817,0.1544,0.1243,0.1768,0.1777,0.1636,0.0753,0.0775,0.5072
2011-08-22,1044,0.1517,0.1692,0.1411,0.1777,0.1699,0.128,0.1148,0.4495
2011-08-29,999,0.16,0.1672,0.1571,0.1777,0.1787,0.0934,0.1194,0.4796
2011-09-05,1494,0.1621,0.1148,0.1953,0.1737,0.1783,0.1082,0.1562,0.4072
2011-09-12,1333,0.1777,0.1339,0.2079,0.1737,0.1914,0.0993,0.1091,0.4235
2011-09-19,1441,0.2086,0.1892,0.2261,0.1737,0.2161,0.0774,0.1108,0.4265
2011-09-26,1244,0.1701,0.147,0.1717,0.1726,0.177,0.0753,0.0871,0.4993
2011-10-03,1605,0.205,0.1731,0.2375,0.1777,0.2103,0.0874,0.1137,0.4414
2011-10-10,1569,0.214,0.2064,0.2063,0.1781,0.2144,0.0808,0.0931,0.4403
2011-10-17,1345,0.1726,0.1495,0.1816,0.1781,0.1843,0.0835,0.0938,0.4841
2011-10-24,1434,0.1861,0.1763,0.184,0.1861,0.2014,0.0849,0.1145,0.4306
2011-10-31,1438,0.2025,0.2017,0.1926,0.1977,0.2118,0.0766,0.1165,0.4357
2011-11-07,1370,0.1425,0.1232,0.151,0.1977,0.1508,0.068,0.0948,0.5435
2011-11-14,1837,0.1977,0.206,0.1887,0.1977,0.2081,0.0825,0.1176,0.4289
2011-11-21,831,0.1781,0.1563,0.1871,0.1861,0.1925,0.0704,0.1241,0.5339
2011-11-28,1595,0.1716,0.1814,0.1628,0.1861,0.1874,0.1015,0.1348,0.4087
2011-12-05,1699,0.219,0.2234,0.2053,0.1861,0.224,0.102,0.1156,0.4112
2011-12-12,1726,0.2441,0.2882,0.216,0.1977,0.2481,0.099,0.1185,0.3838
2011-12-19,1024,0.3057,0.3689,0.2669,0.1967,0.3049,0.0801,0.1315,0.3901
2012-01-02,753,0.1817,0.136,0.2056,0.1977,0.1921,0.0834,0.1166,0.4827
2012-01-09,1209,0.1496,0.1119,0.1756,0.1967,0.1586,0.076,0.0836,0.5141
2012-01-16,1625,0.2932,0.2398,0.3278,0.2026,0.284,0.0861,0.1213,0.3916
2012-01-23,2062,0.174,0.1199,0.2013,0.2026,0.186,0.0649,0.1266,0.4826
2012-01-30,1777,0.2387,0.206,0.2627,0.1967,0.2436,0.0815,0.1131,0.4238
2012-02-06,1683,0.1967,0.179,0.211,0.1967,0.1975,0.0696,0.0877,0.4866
2012-02-13,1766,0.2715,0.2057,0.3167,0.1967,0.2847,0.0846,0.1412,0.3957
2012-02-20,1129,0.1285,0.1111,0.1353,0.1967,0.1376,0.0647,0.0874,0.5657
2012-02-27,1795,0.2026,0.1971,0.2059,0.1967,0.2104,0.098,0.1196,0.4384
2012-03-05,1795,0.1713,0.172,0.1686,0.1959,0.1758,0.0861,0.1033,0.5012
2012-03-12,1028,0.1815,0.1607,0.2037,0.1967,0.1956,0.0972,0.0968,0.5107
2012-03-19,1641,0.2126,0.1815,0.2439,0.1959,0.2249,0.0944,0.1172,0.4497
2012-03-26,1562,0.2474,0.2582,0.2378,0.1959,0.2551,0.0977,0.1119,0.3973
2012-04-02,1041,0.1666,0.1299,0.1928,0.1959,0.1788,0.0961,0.1189,0.5021
2012-04-09,1057,0.1559,0.1238,0.1756,0.1959,0.1673,0.0847,0.102,0.5251
2012-04-16,1623,0.1959,0.2076,0.1788,0.1959,0.2027,0.086,0.0985,0.4535
2012-04-23,2054,0.2269,0.232,0.2157,0.1968,0.2294,0.1015,0.1041,0.457
2012-04-30,1091,0.1296,0.1147,0.1298,0.1968,0.1437,0.0887,0.0849,0.5414
2012-05-07,1566,0.2027,0.2254,0.1675,0.1968,0.21,0.0888,0.1034,0.4869
2012-05-14,1578,0.2143,0.2201,0.2063,0.1968,0.2178,0.0968,0.1095,0.4612
2012-05-21,1557,0.1684,0.1394,0.1695,0.1968,0.1761,0.0861,0.1002,0.4986
2012-05-28,1519,0.1968,0.1733,0.2112,0.2027,0.2074,0.0945,0.1372,0.4801
2012-06-04,1864,0.2136,0.197,0.2265,0.2126,0.2227,0.0948,0.1173,0.447
2012-06-11,1633,0.1671,0.1376,0.1817,0.2126,0.1747,0.0843,0.0897,0.5334
2012-06-18,1900,0.2126,0.1781,0.2373,0.2136,0.2116,0.0869,0.0895,0.4697
2012-06-25,2155,0.2737,0.2094,0.3199,0.2136,0.273,0.0934,0.1193,0.3885
2012-07-02,973,0.1558,0.1069,0.1776,0.2126,0.1797,0.0805,0.1295,0.5375
2012-07-09,1802,0.2605,0.2587,0.2626,0.2126,0.2663,0.0913,0.1176,0.4017
2012-07-16,2011,0.2361,0.2225,0.2388,0.2126,0.2485,0.1366,0.1639,0.3867
2012-07-23,2065,0.2223,0.1765,0.2628,0.1915,0.2281,0.1059,0.1231,0.44
2012-07-30,1861,0.2555,0.223,0.2939,0.1915,0.2555,0.0996,0.1235,0.4609
2012-08-06,1175,0.14,0.1111,0.1571,0.1915,0.1535,0.0881,0.1018,0.5512
2012-08-13,1022,0.1572,0.132,0.174,0.1831,0.1718,0.0924,0.1164,0.5281
2012-08-20,1143,0.1479,0.126,0.1474,0.1853,0.1588,0.0898,0.1145,0.5482
2012-08-27,957,0.1233,0.1065,0.1376,0.1831,0.1366,0.0834,0.0997,0.5226
2012-09-03,1072,0.1915,0.086,0.2391,0.1681,0.2184,0.0915,0.1746,0.459
2012-09-10,1948,0.1831,0.1658,0.1986,0.1665,0.2002,0.1407,0.2061,0.4223
2012-09-17,1776,0.2064,0.1961,0.2116,0.1572,0.2144,0.0923,0.1259,0.4726
2012-09-24,1244,0.1665,0.1269,0.1975,0.1572,0.1787,0.0995,0.1043,0.5241
2012-10-01,1227,0.1853,0.135,0.2199,0.1479,0.1989,0.1054,0.1288,0.4977
2012-10-08,1076,0.1681,0.1364,0.1777,0.1464,0.1787,0.1009,0.1094,0.4986
2012-10-15,1088,0.1442,0.1146,0.1615,0.1665,0.1591,0.0907,0.0992,0.5379
2012-10-22,1104,0.1266,0.0876,0.1578,0.1665,0.1409,0.1127,0.0929,0.5326
2012-10-29,1393,0.1146,0.1085,0.1186,0.1665,0.1435,0.1365,0.1502,0.4054
2012-11-05,946,0.105,0.0734,0.1073,0.1665,0.1128,0.0649,0.0948,0.5687
2012-11-12,1214,0.1464,0.1186,0.1565,0.1681,0.1539,0.0983,0.107,0.5059
2012-11-19,702,0.113,0.1172,0.0839,0.1589,0.1175,0.0632,0.0793,0.6381
2012-11-26,1572,0.1747,0.1754,0.1601,0.1589,0.1827,0.09,0.0973,0.4422
2012-12-03,1410,0.1778,0.1878,0.1571,0.1747,0.1827,0.0915,0.1221,0.4656
2012-12-10,1547,0.207,0.2041,0.2101,0.1747,0.2201,0.1393,0.1933,0.4027
2012-12-17,1340,0.2328,0.2634,0.1732,0.1778,0.2403,0.1358,0.1771,0.3931
2012-12-31,1499,0.1827,0.1823,0.182,0.1827,0.1886,0.0662,0.1053,0.5025
2013-01-07,1392,0.1589,0.1172,0.1741,0.1827,0.1718,0.0908,0.0991,0.5157
2013-01-14,1796,0.1903,0.1432,0.227,0.1832,0.1974,0.1243,0.1131,0.4623
2013-01-21,2256,0.1873,0.1358,0.227,0.1873,0.1871,0.0828,0.0966,0.515
2013-01-28,2218,0.1399,0.1208,0.1569,0.1886,0.1503,0.0879,0.1054,0.5359
2013-02-04,2460,0.1886,0.1468,0.2153,0.1873,0.2002,0.1057,0.1126,0.4644
2013-02-11,4064,0.1832,0.1572,0.2049,0.1871,0.1909,0.0945,0.108,0.4695
2013-02-18,2407,0.1691,0.1668,0.1674,0.1871,0.1736,0.1006,0.0977,0.5112
2013-02-25,4037,0.2665,0.2667,0.2666,0.1871,0.2762,0.1417,0.1369,0.3839
2013-03-04,3680,0.2233,0.1988,0.251,0.1832,0.2262,0.1001,0.1063,0.4597
2013-03-11,3529,0.2008,0.2111,0.1921,0.1832,0.2067,0.0845,0.1059,0.4794
2013-03-18,3711,0.1871,0.1735,0.1931,0.1832,0.1963,0.0881,0.1084,0.4899
2013-03-25,2342,0.1267,0.1047,0.1456,0.1832,0.1336,0.0761,0.0718,0.6064
2013-04-01,2271,0.1249,0.0898,0.1348,0.1871,0.1419,0.084,0.1042,0.5686
2013-04-08,3557,0.1829,0.1615,0.1993,0.1871,0.1917,0.0909,0.1168,0.4683
2013-04-15,3486,0.1513,0.1475,0.1511,0.1829,0.1639,0.1491,0.1716,0.4443
2013-04-22,3438,0.1932,0.1502,0.2398,0.1829,0.203,0.0992,0.1054,0.4827
2013-04-29,3139,0.1245,0.0826,0.1545,0.1829,0.1344,0.0778,0.0812,0.5953
2013-05-06,4310,0.1892,0.1514,0.2171,0.1829,0.1977,0.1148,0.0933,0.5007
2013-05-13,5269,0.2933,0.1997,0.355,0.1843,0.2993,0.1261,0.1166,0.3907
2013-05-20,4279,0.1704,0.1422,0.1895,0.1843,0.1788,0.1195,0.1314,0.4659
2013-05-27,3231,0.1348,0.0972,0.1585,0.1892,0.1453,0.09,0.1011,0.5733
2013-06-03,4155,0.1975,0.176,0.2086,0.1932,0.2061,0.1141,0.1256,0.4733
2013-06-10,4714,0.1843,0.1621,0.1989,0.1975,0.1886,0.1042,0.0962,0.4947
2013-06-17,4303,0.2095,0.1889,0.2233,0.1975,0.214,0.0965,0.101,0.4715
2013-06-24,5086,0.2299,0.1905,0.2691,0.1975,0.2295,0.1077,0.1056,0.4478
2013-07-01,2601,0.1777,0.1308,0.2063,0.1843,0.1895,0.0945,0.1536,0.5183
2013-07-08,4408,0.2583,0.2395,0.2775,0.1843,0.2627,0.0998,0.1254,0.4186
2013-07-15,4805,0.218,0.1769,0.2622,0.1843,0.2222,0.0917,0.106,0.465
2013-07-22,2968,0.2387,0.1951,0.2728,0.1843,0.2477,0.1087,0.1242,0.4158
2013-08-05,2647,0.1421,0.119,0.16,0.1871,0.1477,0.0872,0.0903,0.5475
2013-08-12,2538,0.1637,0.1123,0.2036,0.1871,0.1724,0.0824,0.0923,0.5662
2013-08-19,2638,0.146,0.0954,0.1883,0.1871,0.1548,0.0828,0.0838,0.5766
2013-08-26,3182,0.1401,0.1201,0.1529,0.218,0.1437,0.0801,0.0807,0.5535
2013-09-02,2471,0.1404,0.1082,0.1657,0.218,0.1497,0.0974,0.0826,0.5161
2013-09-09,3774,0.1871,0.1183,0.2398,0.2324,0.1921,0.1366,0.1449,0.4276
2013-09-16,4732,0.256,0.2503,0.2617,0.2167,0.2599,0.1387,0.1724,0.3941
2013-09-23,4461,0.3392,0.2787,0.3917,0.2167,0.343,0.1172,0.1488,0.3651
2013-09-30,5220,0.4382,0.4715,0.3856,0.2167,0.437,0.1288,0.2115,0.2617
2013-10-07,3467,0.357,0.3857,0.311,0.2167,0.3628,0.1092,0.1792,0.3131
2013-10-14,2814,0.2907,0.2655,0.3073,0.2167,0.2991,0.1035,0.1731,0.3687
2013-10-21,3277,0.2324,0.1391,0.307,0.2167,0.2513,0.1062,0.1429,0.4418
2013-10-28,4273,0.2167,0.1496,0.2878,0.2167,0.2355,0.1187,0.1408,0.4344
