year,n,members,slope_per_decade,se,p,slope_per_decade_party_adj,p_party_adj
2011,66142,215,0.013825467864490685,0.008751478891673522,0.11415577726706388,0.012771527590804776,0.11537017322252706
2012,74796,239,0.0020372019406758534,0.008588413234544977,0.8124988975208787,0.005423220240359526,0.4620536389156614
2013,173260,335,0.004163550909968391,0.0060232802041076255,0.48941277965411323,0.0078113265310198075,0.13439382764974328
2014,189555,342,0.008789213498914455,0.004576430978176872,0.05478987047890612,0.011321247289636495,0.0026429721234263515
2015,200405,380,0.015737099383249402,0.003944162869808402,6.60810978235625e-05,0.014470808572184215,3.418572877888e-06
2016,216500,403,0.02362077986728425,0.007720277939976572,0.0022165027678666747,0.014692495471697164,0.0026912066601095827
2017,278367,419,0.030341657512057855,0.00952515752771882,0.0014454247698676228,0.01293315966305255,0.011455155935245575
2018,266921,480,0.02650325298313399,0.011632805430108821,0.022707520363976483,0.008344347659812505,0.23533622287067424
2019,445766,496,0.016055276717480298,0.007297645732104403,0.027802460968931002,0.011333612467809171,0.07899492910080345
2020,530792,490,0.011485601731678681,0.006934757589907429,0.09767384398870207,0.008340081641156889,0.2104604077930331
2021,582340,515,-0.017605766956778214,0.006861180253635214,0.01028797607944927,-0.008164961959101592,0.12087897648834912
2022,416483,515,-0.014592249262598962,0.00678119751893954,0.03140766718888998,-0.0053675079408487545,0.2910667267919602
2023,281549,532,-0.01019828316227162,0.006689333341959458,0.12736913734512376,-0.00685484236367868,0.2431076827652613
2024,374755,538,-0.008140573884113532,0.007310654163288239,0.2654843263001665,-0.0034632028950092003,0.5751186482817232
2025,391422,519,0.013481110803793803,0.006426301711813764,0.035922609250262735,0.008845533171264786,0.11729012298029186
2026,342735,521,0.01007636005469122,0.007002404041693186,0.15015454309652787,0.003512595969049098,0.5834795714964915
