year,age_bracket,n,members,anger,share_angry,negative,joy,anger_se,anger_dev
2011,30,528,2,0.13532444488814552,0.08333333333333333,0.09325242007153892,0.46885483826785773,0.009166125583891906,-0.06388801802031185
2011,35,3524,12,0.14502438312057073,0.10385925085130533,0.1044547400199873,0.48246100322703095,0.003997601902773996,-0.054188079787886645
2011,40,3149,10,0.17611488361306732,0.13337567481740234,0.11495456524302271,0.419759399292499,0.004608367733480191,-0.023097579295390053
2011,45,8394,32,0.1597182835179985,0.12258756254467476,0.10920274355070717,0.47514680521366315,0.0027769775365431588,-0.03949417939045888
2011,50,13315,38,0.23889838194592086,0.20766053323319564,0.1804499657797007,0.4037529103719523,0.0027188172687352004,0.03968591903746349
2011,55,12943,51,0.18403934124752636,0.14919261376805995,0.11737333111541286,0.4472837904576292,0.0024083344278170173,-0.015173121660931016
2011,60,10400,47,0.20304586823422982,0.16971153846153847,0.13835535494691262,0.42069254592110294,0.002829450903349619,0.0038334053257724487
2011,65,6040,26,0.2096602403376458,0.17582781456953642,0.1393197854766017,0.3748309865676403,0.0037586560909144777,0.010447777429188426
2011,70,6083,19,0.24271132087387964,0.2160118362650008,0.16475338863281078,0.3980125607915784,0.004057113476502393,0.04349885796542227
2011,75,1652,9,0.15643537047597608,0.11924939467312348,0.09763729796888922,0.4676263708780242,0.006155963938599738,-0.04277709243248129
2012,35,2701,10,0.13640144139063476,0.10551647537948908,0.1035880082331202,0.5520213263868591,0.0047083927867179855,-0.05847224160424272
2012,40,3463,14,0.2045824271504405,0.1770141495812879,0.15456220944779284,0.4353146289664592,0.0049300130326849255,0.009708744155563026
2012,45,6833,33,0.16033954311586937,0.1289331186887165,0.11427333473995138,0.5134507828176329,0.0031919549006513646,-0.03453413987900811
2012,50,16584,39,0.22952954247473703,0.20375060299083453,0.16913194220491598,0.4499894365202692,0.002439475505766837,0.03465585947985955
2012,55,13011,51,0.18544067380874768,0.152486357697333,0.129849049246691,0.4742240502411216,0.0024704606198208455,-0.009433009186129798
2012,60,11596,55,0.19746113899024959,0.16988616764401518,0.1404050611427942,0.46822824065833973,0.002685686482113658,0.0025874559953721066
2012,65,8706,40,0.1584936069298297,0.12474155754651964,0.11662895835603057,0.5001263958378979,0.002788636343002032,-0.036380076065047784
2012,70,7203,22,0.2332696527975513,0.19727891156462585,0.15195727856562216,0.3916337781302723,0.0035616797879642155,0.03839596980267382
2012,75,4332,12,0.1714558978865481,0.14012003693444136,0.10835811814751402,0.501983247491611,0.004147414328248221,-0.02341778510832937
2012,80,290,2,0.2634409497636531,0.24482758620689654,0.1583694898282531,0.37839968586179973,0.01869078359738785,0.06856726676877564
2013,30,3397,5,0.2094194512593036,0.18928466293788637,0.13288974296209075,0.5316940207616392,0.005275929649070707,0.0023820132006895367
2013,35,10946,20,0.173549196389822,0.1439795359035264,0.12423053481858674,0.5276848008791855,0.0026587786467862436,-0.03348824166879208
2013,40,14572,27,0.24482094059656292,0.2246774636288773,0.1631361661886147,0.4627623279584608,0.002738669685132184,0.03778350253794885
2013,45,16217,38,0.19254346915772896,0.16310045014490968,0.12997471047792042,0.48188624564169935,0.002270688684063523,-0.014493968900885112
2013,50,32827,68,0.20151050359656525,0.17238858256922654,0.13855414418750645,0.48488285706819,0.0016405720092762589,-0.005526934462048827
2013,55,26568,66,0.20413423328732921,0.17818428184281843,0.142905430486553,0.4688765221161708,0.0018296458078688317,-0.002903204771284862
2013,60,25091,68,0.21154266366808816,0.18277470009166633,0.14074024555370482,0.45946317716308416,0.001900112666672299,0.004505225609474084
2013,65,21647,55,0.19587421604198893,0.16759828151706935,0.13800530621116044,0.478536516335182,0.0019958025229351766,-0.011163222016625146
2013,70,12735,30,0.23902594657054643,0.20871613663133098,0.15285439952284416,0.39976642328401507,0.0027390292850041,0.031988508511932356
2013,75,8180,16,0.1952445656364877,0.16638141809290954,0.12670571342986453,0.4642606777079804,0.0031483431604946107,-0.011792872422126371
2013,80,1080,4,0.317412255499167,0.30092592592592593,0.21089481262304752,0.34058004599970043,0.010678849882464553,0.11037481744055294
2014,30,3065,3,0.1518595206289177,0.12822185970636216,0.12284928373160633,0.5661740032223708,0.0047897622937790475,-0.014893424327747956
2014,35,8108,14,0.14758837138753814,0.12074494326591022,0.10105009949742265,0.5722884173612637,0.002926499876903132,-0.019164573569127513
2014,40,15615,29,0.16434555393833042,0.13691962856227985,0.12006361466045025,0.5440344528519059,0.0022071299587040965,-0.002407391018335231
2014,45,18346,31,0.15085942078708242,0.122533522293688,0.11956594380902823,0.580726715452585,0.0019326869442045022,-0.01589352416958323
2014,50,28763,61,0.15735247000444533,0.12940235719500748,0.11262218290201115,0.5435758986052187,0.0015557074179832538,-0.009400474952220322
2014,55,32785,66,0.17034557192745867,0.14076559402165625,0.12491197204836053,0.5059621333997809,0.0015173740928796614,0.003592626970793017
2014,60,30594,73,0.17072832950519734,0.14244623128718048,0.11914589556867503,0.5116340341818674,0.0015665840710537928,0.003975384548531691
