year,party,age_bracket,n,anger,anger_dev
2011,Democrat,35,659,0.15258883194127354,-0.053183143810890066
2011,Democrat,45,1739,0.1492762572730261,-0.05649571847913751
2011,Democrat,50,3023,0.2030477946745235,-0.0027241810776401088
2011,Democrat,55,5045,0.18508756433496376,-0.020684411417199844
2011,Democrat,60,6013,0.2056235330047759,-0.0001484427473877059
2011,Democrat,65,3562,0.22707468883955673,0.02130271308739312
2011,Democrat,70,3942,0.26195035589445914,0.056178380142295536
2011,Democrat,75,819,0.1440368706311562,-0.06173510512100741
2011,Republican,30,528,0.13532444488814552,-0.05768694646169917
2011,Republican,35,2865,0.14328442787699544,-0.049726963472849245
2011,Republican,40,3098,0.17108912995864328,-0.021922261391201403
2011,Republican,45,6655,0.1624468610747238,-0.030564530275120877
2011,Republican,50,10292,0.24942853403700463,0.056417142687159944
2011,Republican,55,7898,0.18336976851061554,-0.009641622839229147
2011,Republican,60,4387,0.19951281642996868,0.006501425080123996
2011,Republican,65,1156,0.16228190830998948,-0.030729483039855204
2011,Republican,70,904,0.15658203524689857,-0.03642935610294612
2011,Republican,75,833,0.16862549217214354,-0.024385899177701148
2012,Democrat,35,795,0.13731503481068794,-0.03623826206549274
2012,Democrat,45,2355,0.1510587639566867,-0.022494532919493992
2012,Democrat,50,4819,0.19529100848061523,0.02173771160443455
2012,Democrat,55,6214,0.17288954703049303,-0.00066374984568765
2012,Democrat,60,6095,0.16879100188967436,-0.004762294986506321
2012,Democrat,65,6488,0.1588106384062617,-0.014742658469918984
2012,Democrat,70,3492,0.21769644501701718,0.0441431481408365
2012,Democrat,75,2550,0.14438302869470243,-0.02917026818147825
2012,Democrat,80,290,0.2634409497636531,0.08988765288747244
2012,Republican,35,1906,0.1360203780281257,-0.07203890193123147
2012,Republican,40,3405,0.20650170446536265,-0.0015575754939945174
2012,Republican,45,4478,0.16522034591173254,-0.04283893404762462
2012,Republican,50,11765,0.24355380897007683,0.03549452901071967
2012,Republican,55,6797,0.19691525109285454,-0.01114402886650262
2012,Republican,60,5501,0.2292270880227902,0.021167808063433047
2012,Republican,65,2218,0.1575662398337562,-0.05049304012560096
2012,Republican,70,634,0.18335286032831538,-0.02470641963104178
2012,Republican,75,1782,0.21019653561898727,0.002137255659630105
2013,Democrat,30,2309,0.16730370278937695,-0.011013529282386109
2013,Democrat,35,4659,0.12255038026404247,-0.05576685180772059
2013,Democrat,40,4314,0.14825134122305741,-0.030065890848705645
2013,Democrat,45,6309,0.1795267012262344,0.0012094691544713432
