cycle,party,weeks_to_election,n,anger
2012,Democrat,0,531,0.08971814496930261
2012,Democrat,1,686,0.09384110956466363
2012,Democrat,2,523,0.1204010520520376
2012,Democrat,3,630,0.13320806649336148
2012,Democrat,4,489,0.11252309366535007
2012,Democrat,5,514,0.14422613609824983
2012,Democrat,6,844,0.1987338515773186
2012,Democrat,7,786,0.16913576732666893
2012,Democrat,8,624,0.1083208441888042
2012,Democrat,9,352,0.11603823490043975
2012,Democrat,10,591,0.0977364186908224
2012,Democrat,11,456,0.1323492100529716
2012,Democrat,12,531,0.12234004566765157
2012,Democrat,13,826,0.21793279169267157
2012,Democrat,14,1032,0.17520449575047595
2012,Democrat,15,944,0.1783583879907876
2012,Democrat,16,941,0.2682933057791986
2012,Democrat,17,467,0.18949809770959347
2012,Democrat,18,839,0.17972404442958453
2012,Democrat,19,838,0.19987528353900624
2012,Democrat,20,715,0.1499746532081724
2012,Democrat,21,660,0.16575623053253036
2012,Democrat,22,703,0.21397463195714808
2012,Democrat,23,494,0.12038285726858566
2012,Democrat,24,661,0.21279107350024778
2012,Democrat,25,672,0.19545754673821475
2012,Democrat,26,586,0.17547943682009323
2012,Democrat,27,761,0.22636067564752194
2012,Democrat,28,695,0.18565417082926675
2012,Democrat,29,572,0.18391369180216527
2012,Democrat,30,376,0.12399302252216582
2012,Democrat,31,623,0.26299756937578056
2012,Democrat,32,852,0.17890936356287082
2012,Democrat,33,503,0.16662647934523125
2012,Democrat,34,682,0.1776718203479539
2012,Democrat,35,885,0.20739365514015284
2012,Democrat,36,532,0.11071404952492873
2012,Democrat,37,520,0.2049201698642439
2012,Democrat,38,676,0.18271030738781696
2012,Democrat,39,787,0.19248584578324965
2012,Democrat,40,643,0.14868986236386314
2012,Democrat,41,750,0.22157704972662032
2012,Democrat,42,457,0.12161242312199438
2012,Democrat,43,391,0.11853581221054887
2012,Democrat,46,556,0.326828824159381
2012,Democrat,47,643,0.25869653715345065
2012,Democrat,48,660,0.18976119801783087
2012,Democrat,49,307,0.13266400041222476
2012,Democrat,50,646,0.20759840770739912
2012,Democrat,51,625,0.15280429555922748
2012,Democrat,52,522,0.19302468758497487
2012,Democrat,53,594,0.1886103400687753
