year,generation,n,members,anger,share_angry,anger_dev
2011,Boomer,44030,142,0.20302751270424665,0.1693390869861458,0.003618518522169184
2011,Gen X,9244,31,0.16058056458930775,0.12007788836001732,-0.03882842959276972
2011,Silent,12868,42,0.21492085559212207,0.18363382032949954,0.015511861410044597
2012,Boomer,49567,152,0.19762224138308415,0.1681158835515565,0.002845569531304104
2012,Gen X,9213,38,0.17371883954920347,0.14522956691631392,-0.021057832302576573
2012,Silent,16016,49,0.19808333169478007,0.16421078921078922,0.0033066598430000205
2013,Boomer,103030,215,0.20298488549142615,0.1749587498786761,-0.0040525525671879226
2013,Gen X,38874,62,0.20912687019676313,0.18403045737510934,0.00208943213814905
2013,Silent,31356,58,0.2177629740344709,0.18844878173236382,0.01072553597585682
2014,Boomer,109804,218,0.16804360445060257,0.13909329350479036,0.0012906594939369187
2014,Gen X,44175,65,0.1546153941590615,0.12731182795698925,-0.012137550797604146
2014,Silent,35576,59,0.1778406650885499,0.14307398246008546,0.011087720131884249
2015,Boomer,124630,240,0.16408590306569573,0.13644387386664528,-0.0038856346772400685
2015,Gen X,44693,85,0.15653438284467674,0.12930436533685363,-0.011437154898259055
2015,Millennial,720,1,0.06995759249483753,0.03333333333333333,-0.09801394524809827
2015,Silent,30362,54,0.2030811304664373,0.17166194585336933,0.035109592723501504
2016,Boomer,135940,253,0.18015282058105953,0.15598793585405327,-0.0040144441636035255
2016,Gen X,49274,93,0.16216733721223248,0.1371920282501928,-0.021999927532430574
2016,Millennial,865,1,0.0485293535413382,0.009248554913294798,-0.13563791120332486
2016,Silent,30421,56,0.2415971573196647,0.21965089904999835,0.05742989257500164
2017,Boomer,174860,270,0.2942078914668964,0.2828091044263983,0.00538968135277873
2017,Gen X,67975,101,0.2555991209129405,0.23705774181684444,-0.033219089201177165
2017,Millennial,1169,2,0.072836786257605,0.04362703165098375,-0.2159814238565127
2017,Silent,34363,46,0.33445189144553195,0.32476791898262664,0.045633681331414266
2018,Boomer,166200,302,0.28671224746656143,0.27703369434416364,-0.0005945991703802944
2018,Gen X,68175,121,0.2757490212715948,0.2633516685001834,-0.011557825365346941
2018,Millennial,1784,5,0.12131476101103748,0.0992152466367713,-0.16599208562590423
2018,Silent,30767,52,0.3257541117962469,0.31894562355770795,0.03844726515930519
2019,Boomer,238644,276,0.31621740898738415,0.30944419302391846,0.0066967065265846615
2019,Gen X,143779,149,0.2927967656666146,0.2836227821865502,-0.01672393679418488
2019,Millennial,24732,25,0.2891811964696461,0.2805272521429727,-0.020339505991153417
2019,Silent,38853,46,0.34322360154643117,0.339072915862353,0.03370289908563168
2020,Boomer,286154,276,0.2932177854122173,0.2805307631555037,0.005201188834949522
2020,Gen X,173823,145,0.2800888505042471,0.2650109594242419,-0.007927746073020714
2020,Millennial,27523,24,0.2647822858500499,0.2493187515895796,-0.023234310727217877
2020,Silent,43790,45,0.3001006694231172,0.2857501712719799,0.012084072845849392
2021,Boomer,302458,285,0.2941933383453526,0.28559998413002796,-0.0069911633270866025
2021,Gen X,199322,161,0.3121466975136329,0.305024031466672,0.010962195841193678
2021,Millennial,45106,33,0.3457667335324607,0.34283687314326255,0.04458223186002147
2021,Silent,35455,37,0.24247910970649397,0.224284304047384,-0.058705391965945236
2022,Boomer,213479,284,0.32356578847898976,0.3202563249781009,-0.005302308104041087
2022,Gen X,145830,160,0.33972089791210847,0.3369471302201193,0.010852801329077622
2022,Millennial,31724,34,0.3547726101833183,0.3530134913630059,0.02590451360028745
2022,Silent,25450,37,0.2788670209236077,0.26703339882121807,-0.05000107565942313
2023,Boomer,129013,256,0.33529153957979313,0.3349042344569927,-0.012659878021447857
2023,Gen X,105760,189,0.36018869200347214,0.3609020423600605,0.012237274402231157
2023,Gen Z,1232,1,0.32421222205769706,0.31006493506493504,-0.023739195543543923
2023,Millennial,32882,57,0.3674659151137395,0.3709020132595341,0.019514497512498508
2023,Silent,12662,29,0.3263628600356705,0.3248302006002211,-0.021588557565570488
2024,Boomer,164620,257,0.3182342232254052,0.3182663102903657,-0.014939173144142448
2024,Gen X,148627,194,0.3491238916801465,0.35227112166699187,0.01595049531059889
2024,Gen Z,760,1,0.2844164695566226,0.2657894736842105,-0.04875692681292504
2024,Millennial,47087,57,0.33561688457828354,0.33678085246458683,0.002443488208735911
2024,Silent,13661,29,0.33395014415912594,0.33416294561159504,0.0007767477895783137
2025,Boomer,153648,219,0.4393772333581815,0.450028636884307,0.0028371239962171613
2025,Gen X,168491,204,0.43576849392828804,0.443857535417322,-0.0007716154336763204
2025,Gen Z,1080,1,0.477927260343589,0.48518518518518516,0.041387150981624654
2025,Millennial,54953,72,0.41145186276639734,0.4177024002329263,-0.02508824659556702
2025,Silent,13250,23,0.5141301561824029,0.534188679245283,0.07759004682043852
2026,Boomer,127662,220,0.40108234127985715,0.4058294559070044,0.007470269004217545
2026,Gen X,157347,203,0.3916766830954192,0.3928133361297006,-0.0019353891802204037
2026,Gen Z,997,1,0.3475419171229229,0.3370110330992979,-0.046070155152716674
2026,Millennial,48573,75,0.3728288866949316,0.37312910464661436,-0.02078318558070802
2026,Silent,8261,23,0.4427939894312767,0.45369809950369205,0.04918191715563708
