year,month,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se,anger_dev
2011,1,2989,0.16088301921652817,0.12211441953830712,0.10353288642630416,0.17061129969215366,0.45653555132467366,0.4530936993294613,0.07862861547587946,0.10868021195371784,0.0045083351994948204,-0.0385259749655493
2011,2,3815,0.20325248798448226,0.16775884665792923,0.13678704118856558,0.21295872725861276,0.44133999119543255,0.4329970314716713,0.09007289287228952,0.10429867526716498,0.004670967237240267,0.003843493802404785
2011,3,5940,0.20014985481148542,0.16936026936026935,0.134700759992992,0.21145319674400806,0.41882700795560185,0.4161327412758832,0.0890433494886697,0.10966301881590614,0.003762101072010801,0.0007408606294079523
2011,4,5305,0.2311447942378412,0.19641847313854854,0.1512470503442576,0.24201539150578769,0.39255575503518453,0.41153558789946415,0.08813064693636546,0.11889495395359204,0.004224633261937182,0.031735800055763735
2011,5,6611,0.18017188310018817,0.14748147027681138,0.11244181227067863,0.18833755102907926,0.45958578007076245,0.4574371644453109,0.08918592405174845,0.09774273773035447,0.003384194144351617,-0.019237111081889302
2011,6,5982,0.17617690798842708,0.1354062186559679,0.12687423019193936,0.19218655013798763,0.43085668566460034,0.44729673621709926,0.0960195802087313,0.11264414726767412,0.003421463206207618,-0.023232086193650386
2011,7,7103,0.25087829529692346,0.21793608334506548,0.18092430442479268,0.26516924698964417,0.3559298252529977,0.4088501548092992,0.0930218806389801,0.1356875300379875,0.0037066534737231994,0.05146930111484599
2011,8,4805,0.17550662576592102,0.14214360041623308,0.13257533962609155,0.19000902761919394,0.4491476142787715,0.4483691916928959,0.09247239147788776,0.11660966310053134,0.003950676840263891,-0.02390236841615645
2011,9,5868,0.17886073219475776,0.1440013633265167,0.13106258599206314,0.19109940080000082,0.43882720365613415,0.4631094253146177,0.09169390494459079,0.11915637099615158,0.0035303431040818677,-0.02054826198731971
2011,10,6234,0.1952951332821039,0.164260506897658,0.1291877148288585,0.20312489519677973,0.45149128579701614,0.46537739693814334,0.08402641198394971,0.1044337338048464,0.0036368010293987537,-0.004113860899973565
2011,11,6089,0.1799335850582125,0.1438659878469371,0.1286019256285537,0.1909468457528593,0.4653226214808688,0.4677116871145498,0.0780252698067246,0.11520423191686884,0.003474592775128742,-0.019475409123864973
2011,12,5401,0.23791226591365514,0.20644325124976856,0.16190235496078462,0.24325888249519617,0.39671315608842384,0.4291928681064555,0.0974511925558808,0.12272895407371348,0.0042119989109324985,0.038503271731577665
2012,1,6192,0.20527684101009155,0.1816860465116279,0.14724083454976097,0.21121668559431403,0.45912305225182903,0.4488313729392433,0.07606369682566025,0.11487083650661575,0.0037615776770093213,0.010500169158311506
2012,2,6783,0.2154249173646237,0.19106590004422822,0.14498786888325482,0.2222224148343213,0.455924406319392,0.4378687458313778,0.07967276353302936,0.11164022197031923,0.003691823731011349,0.020648245512843666
2012,3,6841,0.20300651041307824,0.1702967402426546,0.13663759031371148,0.21140507134938244,0.4625251554634747,0.45990000127985836,0.09295717355653076,0.1077446219584981,0.0035731669898939554,0.008229838561298192
2012,4,5998,0.19216449794915536,0.1597199066355452,0.1365842688154146,0.19941692691322424,0.4796089728020638,0.4744319616473476,0.09306274097179605,0.10382548383790807,0.003709491457132863,-0.0026121739026246926
2012,5,6657,0.18481496150485205,0.15577587501877724,0.12121534322626512,0.19230818295844634,0.4924160538589132,0.4853572681085516,0.09023997076564332,0.10613725406797797,0.003440753252670355,-0.009961710346927999
2012,6,7956,0.2205923454192888,0.18753142282554047,0.14026236686327004,0.22492774946610652,0.4532587269887709,0.45061781839450027,0.09133453477381706,0.1083852912447649,0.0034023778295434438,0.025815673567508746
2012,7,7561,0.22587655518838815,0.1944187276815236,0.16451582097020037,0.23554484738484607,0.4353726388430025,0.452497582359151,0.10561591742775576,0.13203029851243786,0.0035304826536668565,0.031099883336608097
2012,8,5425,0.17267207525387268,0.14599078341013824,0.12223728205093444,0.18225161627836284,0.516613362821995,0.48951862672773033,0.09222513182861258,0.11282732210177843,0.0037550662045712268,-0.022104596597907367
2012,9,6125,0.1872912496625997,0.1580408163265306,0.15784831342982053,0.20259588699293685,0.46462385175141446,0.4632438943196772,0.10882746936658359,0.15558693618137315,0.003663590955511493,-0.007485422189180357
2012,10,5290,0.14892889566760023,0.11379962192816635,0.11364295985793962,0.1653334871660707,0.4964498112304752,0.47830027014224846,0.11179509081601365,0.11741326950897159,0.003427892198474516,-0.04584777618417982
2012,11,4892,0.1406923647912277,0.10629599345870809,0.09361405440996258,0.1494271182556022,0.5103400717628872,0.5087655432519822,0.08358181912387445,0.0982787471094404,0.003406217869415146,-0.05408430706055234
2012,12,5076,0.2052088230147894,0.17257683215130024,0.16604074518612041,0.21396204290971735,0.4213193635960547,0.45097136892438144,0.11876161159838163,0.1625979168341848,0.004095674792726253,0.010432151163009357
2013,1,8443,0.17351966083908404,0.13964230723676418,0.11127329626643952,0.1793883385184266,0.5074551543218672,0.5021912023179338,0.09093637971177607,0.10098804202974046,0.002946685722294231,-0.03351777721953003
2013,2,12720,0.2013251822163225,0.16470125786163523,0.13857826120665834,0.21034152150906787,0.4537683525701667,0.4689794895177672,0.1124150789715496,0.11697265367274781,0.0025368812492448612,-0.005712255842291569
2013,3,14039,0.1928335969056284,0.16568131633307215,0.12421986163274394,0.19906338997293627,0.4974116897598889,0.4922717197469354,0.08833664967489258,0.10098290678353976,0.0024386813734528527,-0.014203841152985675
2013,4,13865,0.16211931864427737,0.1289578074287775,0.12220821801588236,0.1735908847319663,0.49217554865871127,0.48492298559959085,0.1054397217185783,0.12236499285840607,0.0022286757010916004,-0.04491811941433671
2013,5,18887,0.19895686307510413,0.1730820140837613,0.13222771999843783,0.20721383533258722,0.4842145072983203,0.46751556387912774,0.11094332676274954,0.10875070365038306,0.0021526751678174806,-0.008080574983509947
2013,6,18491,0.20539664084414228,0.1747336542101563,0.1370122083088994,0.20948745157528045,0.4720523222508238,0.48616510449292344,0.10577483942229458,0.10676232260181415,0.002153388354121561,-0.0016407972144718008
2013,7,14813,0.2273211172914356,0.2013096604334031,0.15854953417498244,0.23381113373163742,0.45049109779008967,0.4719044544951221,0.09776318724552498,0.12351717142261097,0.002576352037711539,0.02028367923282151
2013,8,11322,0.149851277025862,0.12029676735559089,0.09498036979345725,0.15622532590859314,0.5593657878040108,0.5169605168254349,0.08363181115371583,0.08731330939585195,0.0024325997040679933,-0.057186161032752064
