year,n,anger,share_angry,negative,disgust,joy,optimism,fear,sadness,anger_se
2011,66142,0.19940899418207747,0.16523540261860845,0.1374339753318551,0.21042207433132148,0.42766017905500775,0.4415376651595214,0.08931497948716746,0.11435366753275429,0.0011142160992667252
2012,74796,0.19477667185178005,0.1644606663457939,0.13834713653278327,0.20361364622570569,0.4687699319098231,0.46499474349029973,0.09494446128457888,0.11882738755552626,0.00105567727491543
2013,173260,0.20703743805861408,0.17943553041671476,0.14066049075984657,0.21472165634185114,0.47130589886443724,0.4760601313897331,0.10311197318323362,0.12145280518236483,0.000720879888558966
2014,189555,0.16675294495666565,0.13709477460367703,0.1218616120516953,0.1726469880623337,0.5191224905465514,0.5178683860782818,0.10413022920197491,0.11028929392447957,0.0006231001726077326
2015,200405,0.1679715377429358,0.13981687083655597,0.12241769375928835,0.1683332784319646,0.5325730846238884,0.5389698262499876,0.1091729160001211,0.101832169420092,0.0006144599093821407
2016,216500,0.18416726474466305,0.16006928406466514,0.13980609749174622,0.1841517155512191,0.5177285787498183,0.5345505617045159,0.13131789969824745,0.11900290881420592,0.0006303000584013949
2017,278367,0.2888182101141177,0.2758121472732041,0.2180890061932239,0.28353333919672274,0.4269263448242511,0.4836947843210291,0.14241544533116385,0.142398420184765,0.0006823090118792357
2018,266926,0.2873068466369417,0.27718169080569144,0.2222610036855596,0.2773768600642517,0.45729807185199617,0.539644827960143,0.16404900541950085,0.149240672620146,0.0007040199865627711
2019,446008,0.3095207024607995,0.3020977202202651,0.2348464518669917,0.2943856920453693,0.44038673945031725,0.5399512718141433,0.1721049027539001,0.14886572076965274,0.0005554451439475707
2020,531290,0.2880165965772678,0.2742664081763255,0.24201446505200444,0.2826569940655793,0.3857797677372025,0.5259699773989156,0.20134851108492896,0.16267708719243634,0.0004937495170036615
2021,582341,0.3011845016724392,0.2929486331891452,0.249126851783709,0.2924417627952102,0.4193609681048288,0.5381488595422358,0.18573891479030843,0.15941187189731032,0.0004789236539124719
2022,416483,0.32886809658303084,0.3253434113757344,0.2659167444383195,0.31587618293614317,0.4130582726021478,0.5302483860984178,0.19375491533531272,0.15935364388886758,0.000579360086088858
2023,281549,0.347951417601241,0.3483123719139475,0.2800724283853556,0.3328107509160741,0.41118433197076687,0.5184246859065783,0.19299765180243786,0.15387733674554827,0.0007220503039335104
2024,374755,0.3331733963695476,0.3345519072460674,0.26597002381381374,0.3180341004746973,0.44340360486554375,0.5335497823733868,0.18541465793969933,0.14658705733388797,0.0006261210575354881
2025,391422,0.43654010936196436,0.4457797466672798,0.3296873995501836,0.41659232662695883,0.3623631044910225,0.44751252119312895,0.18680965805266572,0.1773401418414419,0.0006497212219931127
2026,342840,0.3936120722756396,0.39617605880294016,0.2995577572929906,0.3773527726687132,0.3820682482263104,0.45249883243735195,0.1744884281903283,0.15338503772047957,0.0006837160469254429
