name,party,state,h,n,angry
Adam B. Schiff,Democrat,CA,0,30,18.0
Adam B. Schiff,Democrat,CA,1,143,87.0
Adam B. Schiff,Democrat,CA,2,345,213.0
Adam B. Schiff,Democrat,CA,3,490,291.0
Adam B. Schiff,Democrat,CA,4,614,345.0
Adam B. Schiff,Democrat,CA,5,611,353.0
Adam B. Schiff,Democrat,CA,6,911,514.0
Adam B. Schiff,Democrat,CA,7,1131,610.0
Adam B. Schiff,Democrat,CA,8,1227,641.0
Adam B. Schiff,Democrat,CA,9,1292,658.0
Adam B. Schiff,Democrat,CA,10,1162,600.0
Adam B. Schiff,Democrat,CA,11,1180,633.0
Adam B. Schiff,Democrat,CA,12,1025,520.0
Adam B. Schiff,Democrat,CA,13,1007,509.0
Adam B. Schiff,Democrat,CA,14,1090,477.0
Adam B. Schiff,Democrat,CA,15,762,398.0
Adam B. Schiff,Democrat,CA,16,505,254.0
Adam B. Schiff,Democrat,CA,17,319,171.0
Adam B. Schiff,Democrat,CA,18,227,123.0
Adam B. Schiff,Democrat,CA,19,187,91.0
Adam B. Schiff,Democrat,CA,20,75,34.0
Adam B. Schiff,Democrat,CA,21,22,5.0
Adam B. Schiff,Democrat,CA,22,7,0.0
Adam B. Schiff,Democrat,CA,23,15,8.0
Adam Kinzinger R-IL,Republican,IL,0,10,3.0
Adam Kinzinger R-IL,Republican,IL,1,1,0.0
Adam Kinzinger R-IL,Republican,IL,2,2,0.0
Adam Kinzinger R-IL,Republican,IL,4,1,0.0
Adam Kinzinger R-IL,Republican,IL,5,20,2.0
Adam Kinzinger R-IL,Republican,IL,6,76,14.0
Adam Kinzinger R-IL,Republican,IL,7,188,31.0
Adam Kinzinger R-IL,Republican,IL,8,523,93.0
Adam Kinzinger R-IL,Republican,IL,9,875,140.0
Adam Kinzinger R-IL,Republican,IL,10,887,122.0
Adam Kinzinger R-IL,Republican,IL,11,812,140.0
Adam Kinzinger R-IL,Republican,IL,12,806,131.0
Adam Kinzinger R-IL,Republican,IL,13,838,136.0
Adam Kinzinger R-IL,Republican,IL,14,786,103.0
Adam Kinzinger R-IL,Republican,IL,15,782,132.0
Adam Kinzinger R-IL,Republican,IL,16,626,113.0
Adam Kinzinger R-IL,Republican,IL,17,442,86.0
Adam Kinzinger R-IL,Republican,IL,18,317,76.0
Adam Kinzinger R-IL,Republican,IL,19,198,56.0
Adam Kinzinger R-IL,Republican,IL,20,215,53.0
Adam Kinzinger R-IL,Republican,IL,21,149,39.0
Adam Kinzinger R-IL,Republican,IL,22,95,23.0
Adam Kinzinger R-IL,Republican,IL,23,17,3.0
Adam Smith,Democrat,WA,0,14,7.0
Adam Smith,Democrat,WA,1,68,28.0
Adam Smith,Democrat,WA,2,152,63.0
Adam Smith,Democrat,WA,3,203,63.0
Adam Smith,Democrat,WA,4,246,84.0
Adam Smith,Democrat,WA,5,340,98.0
Adam Smith,Democrat,WA,6,531,121.0
Adam Smith,Democrat,WA,7,676,155.0
Adam Smith,Democrat,WA,8,976,240.0
Adam Smith,Democrat,WA,9,901,207.0
Adam Smith,Democrat,WA,10,874,215.0
