name,party,era,band,n,share_angry
Chris Van Hollen,Democrat,Trump II,09-17 work,1210,0.9024793388429752
Patty Murray,Democrat,Trump II,09-17 work,980,0.8724489795918368
Mazie K. Hirono,Democrat,Trump II,05-08 morning,465,0.8709677419354839
Chris Van Hollen,Democrat,Trump II,05-08 morning,397,0.8564231738035264
Patty Murray,Democrat,Trump II,05-08 morning,887,0.8556933483652762
Patty Murray,Democrat,Trump II,00-04 night,423,0.8321513002364066
Lloyd Doggett,Democrat,Trump II,05-08 morning,521,0.8253358925143954
Lloyd Doggett,Democrat,Trump II,09-17 work,696,0.8204022988505747
"Pascrell Jr., Bill",Democrat,Biden,09-17 work,1027,0.8120740019474196
Mazie K. Hirono,Democrat,Trump II,00-04 night,760,0.8118421052631579
Mazie K. Hirono,Democrat,Trump II,21-23 late,207,0.8115942028985508
Lance Gooden,Republican,Trump II,09-17 work,615,0.8065040650406504
Charles E. Schumer,Democrat,Trump II,09-17 work,2207,0.8060715903942003
Steve Scalise,Republican,Biden,05-08 morning,277,0.8050541516245487
Pramila Jayapal,Democrat,Trump II,05-08 morning,1124,0.8042704626334519
Lance Gooden,Republican,Trump II,05-08 morning,481,0.8024948024948025
Tammy Duckworth,Democrat,Trump II,09-17 work,692,0.7976878612716763
Tom Cotton,Republican,Biden,00-04 night,916,0.7958515283842795
Lance Gooden,Republican,Trump II,00-04 night,205,0.7951219512195122
Steve Scalise,Republican,Biden,09-17 work,662,0.7915407854984894
Pramila Jayapal,Democrat,Trump II,09-17 work,1287,0.7871017871017871
Pramila Jayapal,Democrat,Trump II,00-04 night,791,0.7850821744627055
Brian Babin,Republican,Biden,09-17 work,1290,0.7790697674418605
Charles E. Schumer,Democrat,Trump II,05-08 morning,648,0.7762345679012346
Tom Cotton,Republican,Biden,05-08 morning,2201,0.7696501590186279
Raja Krishnamoorthi,Democrat,Trump II,05-08 morning,318,0.7672955974842768
Christopher Murphy,Democrat,Trump II,09-17 work,1254,0.766347687400319
Raja Krishnamoorthi,Democrat,Trump II,00-04 night,236,0.7627118644067796
Shri Thanedar,Democrat,Trump II,05-08 morning,555,0.7621621621621621
Christopher Murphy,Democrat,Trump II,05-08 morning,839,0.7544696066746126
Lance Gooden,Republican,Biden,09-17 work,1797,0.7479131886477463
Andrew S. Clyde,Republican,Biden,09-17 work,1096,0.7463503649635036
Ronny Jackson,Republican,Biden,05-08 morning,1453,0.7460426703372333
Jason Crow,Democrat,Trump II,09-17 work,618,0.7459546925566343
Jared Huffman,Democrat,Trump II,05-08 morning,257,0.7431906614785992
Adam B. Schiff,Democrat,Trump,00-04 night,463,0.7429805615550756
Lance Gooden,Republican,Biden,00-04 night,463,0.7429805615550756
Jamie Raskin,Democrat,Trump II,05-08 morning,350,0.7428571428571429
Greg Casar,Democrat,Trump II,09-17 work,649,0.7411402157164869
Mark R. Warner,Democrat,Trump II,09-17 work,1367,0.7410387710314558
James E. Clyburn,Democrat,Trump II,05-08 morning,208,0.7403846153846154
Hakeem S. Jeffries,Democrat,Trump II,05-08 morning,351,0.7350427350427351
Christopher Murphy,Democrat,Trump II,00-04 night,390,0.7333333333333333
John B. Larson,Democrat,Trump II,09-17 work,1471,0.7321549966009517
James P. McGovern,Democrat,Trump II,09-17 work,1212,0.7318481848184818
Raja Krishnamoorthi,Democrat,Trump II,09-17 work,513,0.7309941520467836
Mike Levin,Democrat,Trump II,05-08 morning,698,0.7306590257879656
Hakeem S. Jeffries,Democrat,Trump,05-08 morning,464,0.7306034482758621
Robert Garcia,Democrat,Trump II,09-17 work,544,0.7279411764705882
Shri Thanedar,Democrat,Trump II,09-17 work,959,0.7247132429614181
Tammy Duckworth,Democrat,Trump II,05-08 morning,352,0.7244318181818182
Elizabeth Warren,Democrat,Trump II,09-17 work,2685,0.7240223463687151
Jason Crow,Democrat,Trump II,05-08 morning,549,0.7231329690346083
Steve Scalise,Republican,Trump,05-08 morning,532,0.7218045112781954
"Greene, Marjorie Taylor",Republican,Biden,05-08 morning,255,0.7215686274509804
Tom Cotton,Republican,Biden,09-17 work,3771,0.7215592680986476
Jerrold Nadler,Democrat,Trump II,09-17 work,765,0.7202614379084967
Mazie K. Hirono,Democrat,Trump,00-04 night,249,0.7188755020080321
James P. McGovern,Democrat,Trump II,05-08 morning,494,0.7186234817813765
Mike Levin,Democrat,Trump II,00-04 night,511,0.7181996086105675
Adam B. Schiff,Democrat,Trump,05-08 morning,1256,0.7181528662420382
Brian Babin,Republican,Biden,05-08 morning,337,0.7181008902077152
Jeff Merkley,Democrat,Trump II,00-04 night,447,0.7136465324384788
Greg Casar,Democrat,Trump II,05-08 morning,513,0.7134502923976608
James E. Clyburn,Democrat,Trump II,09-17 work,526,0.7129277566539924
Lance Gooden,Republican,Biden,05-08 morning,768,0.7122395833333334
Jason Crow,Democrat,Trump II,00-04 night,405,0.7111111111111111
