name,party,state,n,share_angry,mean_anger
Lance Gooden,Republican,TX,5471,0.7300310729299945,0.6880194403628118
"Greene, Marjorie Taylor",Republican,GA,2996,0.6668891855807744,0.6375913310137631
Andrew S. Clyde,Republican,GA,2762,0.662563359884142,0.6265378105288923
Steve Scalise,Republican,LA,3639,0.6471558120362737,0.6154853632144106
Ronny Jackson,Republican,TX,6918,0.6416594391442614,0.6203330846002714
Thomas P. Tiffany,Republican,WI,3843,0.6125422846734322,0.5829606861657154
Pat Fallon,Republican,TX,5960,0.6095637583892617,0.5766332264877887
Yassamin Ansari,Democrat,AZ,3512,0.607630979498861,0.5844779327116134
Darrell Issa,Republican,CA,3930,0.6073791348600509,0.5773045834681166
Guy Reschenthaler,Republican,PA,2922,0.6030116358658453,0.569684647012124
Robert Garcia,Democrat,CA,2861,0.5973435861586858,0.5736325460680451
Brandon Gill,Republican,TX,3163,0.5855200758773317,0.5606963143575321
Mary E. Miller,Republican,IL,5612,0.58464005702067,0.5609980018382775
Eric Burlison,Republican,MO,5531,0.5805460133791358,0.5633125822216406
Daniel S. Goldman,Democrat,NY,4946,0.5699555196118076,0.5467393740955506
Hakeem S. Jeffries,Democrat,NY,6969,0.5690916917778734,0.5517266644426182
Kevin Kiley,Independent,CA,3132,0.5648148148148148,0.533672817147903
James Comer,Republican,KY,4306,0.5636321411983279,0.5428731018438143
Andrew Ogles,Republican,TN,3754,0.5551411827384124,0.539812168107305
"Bishop, Dan",Republican,NC,4002,0.552223888055972,0.5302600498438749
Marsha Blackburn,Republican,TN,18966,0.5474533375514078,0.5190024568357924
Chris Van Hollen,Democrat,MD,10706,0.5467027834858957,0.5246651209465892
Mazie K. Hirono,Democrat,HI,4596,0.5439512619669278,0.5236247499435702
Lauren Boebert,Republican,CO,11455,0.5355739851593191,0.5181346501164595
"Banks, Jim",Republican,IN,8646,0.5329632199861207,0.5166566990025185
Greg Casar,Democrat,TX,2342,0.5320239111870196,0.5210902671909069
Madison Cawthorn R-NC,Republican,NC,2358,0.5318066157760815,0.5146954895853854
Shri Thanedar,Democrat,MI,2595,0.5279383429672447,0.5084366680266469
Adam B. Schiff,Democrat,CA,14377,0.5253529943660012,0.5076623606825315
Christopher Murphy,Democrat,CT,11667,0.5248135767549499,0.5103306892937471
Keith Self,Republican,TX,4535,0.5239250275633958,0.5054643448922771
Eric Schmitt,Republican,MO,7703,0.5214851356614306,0.5024012798159554
Tom Cotton,Republican,AR,17722,0.5208780047398713,0.4996351634762412
Ted Lieu,Democrat,CA,21590,0.5204261232051876,0.5071926233020597
Josh Hawley,Republican,MO,14030,0.5193157519600855,0.5102591269538378
