name,party,n,n_night,daytime,nighttime,night_minus_day
Mike Levin,Democrat,8330,730.0,0.2490125673249551,0.5643835616438356,0.3153709943188805
Mazie K. Hirono,Democrat,4596,1830.0,0.36724565756823824,0.651912568306011,0.2846669107377727
Joe Wilson,Republican,6518,346.0,0.2582528180354267,0.48265895953757226,0.22440614150214555
Jason Crow,Democrat,7457,754.0,0.2743876235496347,0.4827586206896552,0.2083709971400205
Tom Cotton,Republican,17722,1747.0,0.4606945239458119,0.6605609616485404,0.1998664377027285
Sean Casten,Democrat,15578,2133.0,0.2633568799124465,0.4580403187998125,0.194683438887366
Dan Sullivan,Republican,5433,363.0,0.2233695652173913,0.39669421487603307,0.17332464965864178
John W. Hickenlooper,Democrat,7428,319.0,0.3373229603032116,0.5047021943573667,0.1673792340541551
Jimmy Gomez,Democrat,10860,645.0,0.3068181818181818,0.4604651162790698,0.15364693446088795
Sara Jacobs,Democrat,5068,492.0,0.292909211398277,0.4451219512195122,0.15221273982123518
Jacky Rosen,Democrat,13097,794.0,0.19862766341639582,0.34886649874055414,0.15023883532415833
John Garamendi,Democrat,12118,849.0,0.21017699115044247,0.35217903415783275,0.14200204300739028
Scott H. Peters,Democrat,15393,459.0,0.15753871230643846,0.29193899782135074,0.1344002855149123
Judy Chu,Democrat,10822,711.0,0.3932244404113733,0.5274261603375527,0.13420171992617946
Jared Huffman,Democrat,7171,312.0,0.2975750102753802,0.42948717948717946,0.13191216921179927
Don Bacon,Republican,23831,2944.0,0.2697456023547551,0.39809782608695654,0.12835222373220145
Sean Maloney D-NY,Democrat,6953,326.0,0.25952121871599565,0.38650306748466257,0.12698184876866692
Jeff Merkley,Democrat,21119,1485.0,0.4282132110617567,0.5548821548821549,0.12666894382039817
Greg Stanton,Democrat,6684,311.0,0.22891818372044362,0.3504823151125402,0.12156413139209657
Mariannette Miller-Meeks,Republican,6927,486.0,0.17117117117117117,0.29218106995884774,0.12100989878767657
"Kildee, Dan",Democrat,8222,324.0,0.21809092329323543,0.33641975308641975,0.11832882979318432
Adam Smith,Democrat,10236,705.0,0.235390823494246,0.35319148936170214,0.11780066586745613
Brittany Pettersen,Democrat,2746,326.0,0.3459563543003851,0.46319018404907975,0.11723382974869462
Zoe Lofgren,Democrat,4386,304.0,0.29115797262301146,0.40789473684210525,0.11673676421909379
John Barrasso,Republican,9596,449.0,0.35884661835748793,0.47438752783964366,0.11554090948215573
Mark Kelly,Democrat,7398,687.0,0.22485345838218054,0.33915574963609896,0.11430229125391841
