era,party,band,n,share_angry
Trump II,Democrat,09-17 work,180234,0.5206009964823507
Trump II,Democrat,05-08 morning,111499,0.5182109256585261
Trump II,Democrat,00-04 night,35278,0.5091558478371789
Trump II,Democrat,18-20 evening,5400,0.48944444444444446
Biden,Republican,00-04 night,42436,0.45169195965689507
Biden,Republican,05-08 morning,140509,0.44476866250560465
Biden,Republican,21-23 late,13964,0.43626468060727586
Biden,Republican,09-17 work,508638,0.42030481403276987
Biden,Republican,18-20 evening,48393,0.4059884694067324
Trump,Democrat,00-04 night,23682,0.40144413478591334
Trump II,Republican,18-20 evening,9477,0.36119025007913896
Trump,Democrat,21-23 late,25427,0.3587131789043143
Trump,Democrat,05-08 morning,117736,0.35781748997757695
Trump II,Republican,09-17 work,194257,0.3436066653968712
Trump II,Republican,05-08 morning,128375,0.34325219084712755
Trump II,Republican,00-04 night,49460,0.3270319450060655
Trump,Democrat,09-17 work,715918,0.3220396749348389
Trump,Democrat,18-20 evening,95503,0.31447179669748593
Trump,Republican,00-04 night,12991,0.29605111230852127
Biden,Democrat,00-04 night,33168,0.2749939700916546
Biden,Democrat,21-23 late,15831,0.25058429663318804
Biden,Democrat,05-08 morning,137896,0.2487889423913674
Trump,Republican,05-08 morning,71149,0.2280706685968882
Trump,Republican,21-23 late,15070,0.22727272727272727
Biden,Democrat,18-20 evening,69274,0.22266651268874324
Biden,Democrat,09-17 work,623923,0.2171742346411336
Trump,Republican,18-20 evening,45685,0.2090620553792273
Trump,Republican,09-17 work,394922,0.18902466816232066
Obama,Republican,21-23 late,10642,0.18680699116707386
Obama,Republican,18-20 evening,34095,0.17524563719020383
Obama,Republican,09-17 work,355218,0.16129531724180643
Obama,Democrat,05-08 morning,46080,0.15835503472222223
Obama,Democrat,21-23 late,11198,0.14859796392212896
Obama,Democrat,09-17 work,363369,0.14855972854040933
Obama,Republican,05-08 morning,48357,0.14126186487995535
Obama,Democrat,18-20 evening,34987,0.13810844027781746
Obama,Democrat,00-04 night,6433,0.1305767138193689
