bioguide,party,n,n_years,share_angry,share_dev,tweets_per_day,tweets_per_year,n_bin,r_bin
S001185,Democrat,11288,16,0.1904677533664068,-0.08506471460917892,2.074237412715913,757.0966556413083,10k-20k,500-1k
C001068,Democrat,16893,16,0.44497720949505715,0.180196243902256,2.9610867659947413,1080.7966695880805,10k-20k,1k-2k
J000304,Republican,6918,6,0.6416594391442614,0.296844425913406,3.358252427184466,1225.7621359223301,5k-10k,1k-2k
G000583,Democrat,13508,10,0.20802487414865264,-0.1038926089856601,3.8375,1400.6875,10k-20k,1k-2k
C001072,Democrat,6921,14,0.21109666233203295,-0.06790223155951403,1.401295808868192,511.47297023689003,5k-10k,500-1k
L000585,Republican,4520,9,0.16880530973451327,-0.1554108140193255,1.4723127035830619,537.3941368078176,2k-5k,500-1k
S001199,Republican,6778,10,0.20374741811743877,-0.10951202818050593,1.9272106909297697,703.4319021893659,5k-10k,500-1k
F000463,Republican,9609,14,0.1390363201165574,-0.13883814350863707,1.9384708493040146,707.5418599959653,5k-10k,500-1k
S001200,Democrat,10206,10,0.20507544581618656,-0.12050093646696454,3.1059038344491783,1133.6548995739502,10k-20k,1k-2k
N000189,Republican,4230,12,0.183451536643026,-0.10631651611981988,1.0002364625206905,365.08630882005207,2k-5k,200-500
B001291,Republican,6420,12,0.45669781931464176,0.16371257686944296,1.511655286084295,551.7541794207676,5k-10k,500-1k
B000574,Democrat,649,3,0.38058551617873654,0.08958711254128382,0.7608440797186401,277.7080890973036,500-1k,200-500
N000190,Republican,5496,10,0.4192139737991266,0.09512364078381912,1.6474820143884892,601.3309352517986,5k-10k,500-1k
S001205,Democrat,11937,9,0.31255759403535227,-0.004380067578437054,4.2344803121674355,1545.585313941114,10k-20k,1k-2k
D000626,Republican,5385,11,0.4220984215413185,0.07139045361529692,1.4444742489270386,527.2331008583691,5k-10k,500-1k
P000048,Republican,5639,6,0.42188331264408585,0.07752911368489063,2.7387081107333655,999.6284604176784,5k-10k,500-1k
J000289,Republican,9551,9,0.4683279237776149,0.13044879800641668,3.08993853121967,1127.8275638951795,5k-10k,1k-2k
G000595,Republican,1730,4,0.6514450867052023,0.32980864742074073,1.2089447938504543,441.2648497554158,1k-2k,200-500
V000130,Democrat,4695,14,0.24579339723109692,-0.05120808460267079,0.9611054247697032,350.8034800409417,2k-5k,200-500
W000806,Republican,5670,16,0.17548500881834214,-0.07270873606583697,1.0112359550561798,369.1011235955056,5k-10k,200-500
G000590,Republican,6920,6,0.5176300578034682,0.21434124692434928,3.1992602866389275,1167.7300046232085,5k-10k,1k-2k
R000103,Republican,2594,4,0.4791827293754819,0.16123123871365314,1.8114525139664805,661.1801675977654,2k-5k,500-1k
A000381,Democrat,3512,2,0.607630979498861,0.1898168655113628,5.89261744966443,2150.8053691275168,2k-5k,2k-4k
M001216,Republican,4858,4,0.31864965006175383,-0.07437195064856209,3.663650075414781,1337.2322775263951,2k-5k,1k-2k
H001096,Republican,1438,4,0.4200278164116829,0.035999407574515495,1.0869236583522297,396.72713529856384,1k-2k,200-500
B001319,Republican,5060,4,0.26778656126482214,-0.1221264967235972,3.8045112781954886,1388.6466165413533,5k-10k,1k-2k
G000602,Democrat,1105,2,0.23800904977375564,-0.18101612859746383,1.8447412353923205,673.330550918197,1k-2k,500-1k
S001224,Republican,4535,4,0.5239250275633958,0.12815136373633093,3.425226586102719,1250.2077039274925,2k-5k,1k-2k
S001221,Democrat,3968,4,0.1852318548387097,-0.1980245439057979,2.9834586466165414,1088.9624060150377,2k-5k,1k-2k
W000830,Democrat,1025,2,0.1629268292682927,-0.2649955897678247,1.7372881355932204,634.1101694915254,1k-2k,500-1k
S001165,Democrat,5558,12,0.2216624685138539,-0.0445126730711103,1.3139479905437352,479.59101654846336,5k-10k,200-500
