src,dst,n,anger,sp,dp,cross
T000469,K000382,3,0.4717317248384158,Democrat,Democrat,False
S001205,U000040,22,0.1605433027937331,Democrat,Democrat,False
J000298,O000173,35,0.3570620740098613,Democrat,Democrat,False
H001091,F000446,6,0.3932057737062375,Republican,Republican,False
N000191,H000273,3,0.02262463327497244,Democrat,Democrat,False
C001095,B001236,47,0.13327923633078945,Republican,Republican,False
J000298,S000033,28,0.36934021511115134,Democrat,Independent,False
J000298,P000607,36,0.46160310035985375,Democrat,Democrat,False
F000454,K000385,16,0.2526846143009607,Democrat,Democrat,False
P000607,B001230,97,0.23640113312405409,Democrat,Democrat,False
R000584,C000880,149,0.17043584923966218,Republican,Republican,False
M001176,B001230,21,0.5059389719029977,Democrat,Democrat,False
N000015,P000197,19,0.3401005003895414,Democrat,Democrat,False
M001202,G000582,26,0.0601740234101621,Democrat,Republican,True
L000560,B001292,8,0.371466938406229,Democrat,Democrat,False
G000597,S001196,12,0.2517695807230969,Republican,Republican,False
S001168,S001193,3,0.32615856764217216,Democrat,Democrat,False
S001168,G000586,3,0.3959036096930504,Democrat,Democrat,False
P000145,W000817,14,0.4111734192286219,Democrat,Democrat,False
B001299,W000795,5,0.5629972435534001,Republican,Republican,False
S001205,C001101,134,0.3991705652694704,Democrat,Democrat,False
M000087,N000191,5,0.6897891670465469,Democrat,Democrat,False
G000586,G000551,37,0.527236792510627,Democrat,Democrat,False
E000296,K000380,8,0.34296525560785085,Democrat,Democrat,False
F000454,U000040,43,0.2799303357294479,Democrat,Democrat,False
G000586,T000472,13,0.16473086880376706,Democrat,Democrat,False
R000609,S001176,5,0.7844759583473205,Republican,Republican,False
G000565,R000103,5,0.4184303544461727,Republican,Republican,False
D000610,N000191,6,0.627051611430943,Democrat,Democrat,False
S001168,M001143,4,0.28391613997519016,Democrat,Democrat,False
B001302,F000469,7,0.29221112972923685,Republican,Republican,False
W000826,C001121,7,0.435466398618051,Democrat,Democrat,False
P000145,F000062,12,0.2640737422431509,Democrat,Democrat,False
M001176,B000944,13,0.5659779166946044,Democrat,Democrat,False
S000148,W000790,6,0.3771079950965941,Democrat,Democrat,False
B000944,M001176,6,0.4175250877936681,Democrat,Democrat,False
S001183,B000755,6,0.1155506328990062,Republican,Republican,False
S001205,M001208,18,0.2707050999419557,Democrat,Democrat,False
B001261,T000250,25,0.6093570120632649,Republican,Republican,False
B001281,L000581,18,0.2437903308827016,Democrat,Democrat,False
B001302,M001190,17,0.8570874701527988,Republican,Republican,False
E000296,D000622,5,0.7622832775115966,Democrat,Democrat,False
B001305,T000476,12,0.23061644448898733,Republican,Republican,False
M000087,N000147,26,0.12715773223541105,Democrat,Democrat,False
V000131,A000376,9,0.027467080702384312,Democrat,Democrat,False
S001190,K000385,4,0.09620982292108238,Democrat,Democrat,False
J000301,A000377,4,0.12749309092760086,Republican,Republican,False
W000822,K000385,10,0.23655445016920568,Democrat,Democrat,False
U000031,D000197,46,0.026454426591163097,Republican,Democrat,True
S001205,J000306,7,0.2845410050026008,Democrat,Democrat,False
T000481,L000592,9,0.19924101274874476,Democrat,Democrat,False
K000382,M001208,4,0.3390286380890757,Democrat,Democrat,False
T000472,C001080,8,0.5267017513979226,Democrat,Democrat,False
E000296,S000185,22,0.23590785832228986,Democrat,Democrat,False
P000607,M000312,22,0.5593486856669188,Democrat,Democrat,False
U000040,D000216,5,0.41465913578867913,Democrat,Democrat,False
D000615,L000577,3,0.5048132638136545,Republican,Republican,False
S000148,W000779,24,0.7512258533388376,Democrat,Democrat,False
F000454,C001101,37,0.38893679559633537,Democrat,Democrat,False
N000191,B001267,47,0.1942103273889169,Democrat,Democrat,False
W000797,D000197,7,0.29064286526824745,Democrat,Democrat,False
S001185,B001286,5,0.08504022154957055,Democrat,Democrat,False
C001054,G000577,3,0.21645453572273254,Republican,Republican,False
E000296,A000370,12,0.21816392537827292,Democrat,Democrat,False
H001082,B001299,14,0.4816886028274894,Republican,Republican,False
G000587,P000197,102,0.31243879017511417,Democrat,Democrat,False
J000298,C001080,14,0.5465208773634264,Democrat,Democrat,False
F000466,G000583,6,0.3830146148490409,Republican,Democrat,True
W000822,D000624,4,0.5899750776588917,Democrat,Democrat,False
R000515,R000486,3,0.26158332855751115,Democrat,Democrat,False
W000797,R000486,4,0.18546526064164937,Democrat,Democrat,False
G000585,R000515,3,0.13128645345568657,Democrat,Democrat,False
K000389,L000551,22,0.43077573006634007,Democrat,Democrat,False
P000607,T000472,11,0.4442576633935625,Democrat,Democrat,False
G000565,G000552,11,0.3094925670461221,Republican,Republican,False
H001084,S001212,9,0.44480447802278733,Republican,Republican,False
M001211,J000289,34,0.4810898040476091,Republican,Republican,False
S000770,S001215,4,0.0355621250346303,Democrat,Democrat,False
B001310,C001095,5,0.5911184787750244,Republican,Republican,False
M001212,C001104,5,0.21011290550231934,Republican,Republican,False
M000087,P000034,8,0.25909919379046187,Democrat,Democrat,False
L000590,H001066,17,0.1087295450270176,Democrat,Democrat,False
M000133,M001196,5,0.14460281543433667,Democrat,Democrat,False
L000571,S001184,16,0.3852950173895806,Republican,Republican,False
C000127,M001111,9,0.1985452909850412,Democrat,Democrat,False
F000470,S001212,8,0.30644335271790624,Republican,Republican,False
F000462,D000610,37,0.3665701810245377,Democrat,Democrat,False
K000382,C001101,8,0.4742068205960095,Democrat,Democrat,False
T000486,S001200,3,0.309121564651529,Democrat,Democrat,False
B001302,B001297,34,0.5997288308982902,Republican,Republican,False
S000033,O000173,10,0.39560008263215424,Independent,Democrat,False
D000631,J000294,20,0.4508341672830284,Democrat,Democrat,False
C001038,S000248,5,0.01639182083308697,Democrat,Democrat,False
M001185,P000197,10,0.2521929287351668,Democrat,Democrat,False
L000592,L000551,5,0.27190863247960806,Democrat,Democrat,False
M001176,C001070,6,0.2778590554371476,Democrat,Democrat,False
B000944,P000449,4,0.05864443862810731,Democrat,Republican,True
J000299,B001307,3,0.36352035651604336,Republican,Republican,False
M000639,P000096,37,0.39807413450467427,Democrat,Democrat,False
G000591,H001079,12,0.17823194533896944,Republican,Republican,False
C001069,L000557,16,0.2146440136129968,Democrat,Democrat,False
H001068,R000606,5,0.7014267168939113,Democrat,Democrat,False
N000147,V000128,3,0.6365556046366692,Democrat,Democrat,False
H001082,M001210,4,0.25773986033163965,Republican,Republican,False
P000610,M001169,3,0.9141871333122253,Democrat,Democrat,False
H001082,W000795,16,0.49823255836963654,Republican,Republican,False
B000740,L000575,7,0.3791308752926333,Republican,Republican,False
O000173,M000312,8,0.6897691302001476,Democrat,Democrat,False
W000822,C001101,33,0.3628104792089399,Democrat,Democrat,False
W000815,L000585,5,0.21741887629032136,Republican,Republican,False
C001104,B000825,3,0.9428333640098572,Republican,Republican,False
H001086,B000825,3,0.4505794644355774,Republican,Republican,False
W000815,C001103,7,0.08191376312502793,Republican,Republican,False
W000790,O000174,8,0.1127463118173182,Democrat,Democrat,False
W000817,S001203,19,0.22603407423747213,Democrat,Democrat,False
H001058,S000364,3,0.06484285369515419,Republican,Republican,False
P000607,G000551,11,0.4867900449951941,Democrat,Democrat,False
N000190,J000289,16,0.39352120680268854,Republican,Republican,False
C001117,C001121,10,0.34428513403981925,Democrat,Democrat,False
H000273,D000622,4,0.6574150510132313,Democrat,Democrat,False
C000174,D000622,14,0.4733519723106708,Democrat,Democrat,False
F000462,S001193,7,0.5648803640423077,Democrat,Democrat,False
P000048,M001157,13,0.30226603150367737,Republican,Republican,False
B000740,L000491,4,0.0649395992513746,Republican,Republican,False
F000461,S001176,120,0.6803487539601822,Republican,Republican,False
G000552,B001302,15,0.5226515658199787,Republican,Republican,False
C001080,P000197,8,0.3690068449359387,Democrat,Democrat,False
B001230,D000563,7,0.2868843939421432,Democrat,Democrat,False
H001068,S001156,4,0.4864657027646899,Democrat,Democrat,False
L000174,D000563,54,0.45372145155582716,Democrat,Democrat,False
N000191,S001185,3,0.6861664652824402,Democrat,Democrat,False
B001302,K000392,5,0.5088829644024372,Republican,Republican,False
D000610,J000288,5,0.6076360605657101,Democrat,Democrat,False
S001168,J000298,4,0.38629494048655033,Democrat,Democrat,False
B001302,C001115,11,0.6337286491285671,Republican,Republican,False
L000570,H001080,12,0.14409228189227483,Democrat,Democrat,False
M001187,B001274,3,0.02187280636280775,Republican,Republican,False
D000610,C001112,3,0.21172896524270376,Democrat,Democrat,False
L000579,P000197,5,0.5818701036274433,Democrat,Democrat,False
T000480,S001176,7,0.6994835541450551,Republican,Republican,False
T000483,L000591,3,0.1969053465873003,Democrat,Democrat,False
G000585,L000287,5,0.44291387125849724,Democrat,Democrat,False
W000822,M001203,3,0.18302098910013834,Democrat,Democrat,False
B001302,B001295,7,0.8803662061691284,Republican,Republican,False
G000586,M000312,16,0.5248758541420102,Democrat,Democrat,False
K000385,E000179,3,0.5375532607237498,Democrat,Democrat,False
S001168,K000381,7,0.29150050239903585,Democrat,Democrat,False
C001066,R000515,3,0.8208166360855103,Democrat,Democrat,False
D000610,S001205,8,0.19450681720627472,Democrat,Democrat,False
S001205,K000385,4,0.8370213285088539,Democrat,Democrat,False
G000579,R000610,3,0.0868214579919974,Republican,Republican,False
M000133,M000312,21,0.2826266061692011,Democrat,Democrat,False
L000570,S001185,6,0.37955007950464886,Democrat,Democrat,False
C001067,W000822,10,0.3331362714059651,Democrat,Democrat,False
M000087,S001145,9,0.25771039796786177,Democrat,Democrat,False
R000515,C001117,10,0.4195168886333704,Democrat,Democrat,False
N000191,E000299,10,0.11614985573105514,Democrat,Democrat,False
F000454,M001208,8,0.15858908841619268,Democrat,Democrat,False
R000588,F000455,3,0.5817716121673584,Democrat,Democrat,False
D000622,H001042,7,0.45579397512067643,Democrat,Democrat,False
C001066,C001121,3,0.3245248415817817,Democrat,Democrat,False
B001298,W000823,5,0.07715828362852335,Republican,Republican,False
R000608,D000563,4,0.5139101147651672,Democrat,Democrat,False
T000468,L000590,3,0.3295550278077523,Democrat,Democrat,False
S001206,D000627,13,0.4034538489694779,Democrat,Democrat,False
W000817,H001075,9,0.5507894179059399,Democrat,Democrat,False
W000797,S001150,4,0.8368797898292542,Democrat,Democrat,False
R000515,S001150,5,0.8509746432304383,Democrat,Democrat,False
B001302,G000591,5,0.8350510120391845,Republican,Republican,False
F000461,R000610,13,0.7076931263391788,Republican,Republican,False
N000002,J000298,38,0.5279241550689269,Democrat,Democrat,False
M001187,G000565,13,0.5531234898819373,Republican,Republican,False
R000606,J000298,5,0.490931348502636,Democrat,Democrat,False
E000179,J000294,3,0.5582287510236105,Democrat,Democrat,False
D000627,S001200,10,0.1699499972164631,Democrat,Democrat,False
S000033,P000607,7,0.4728791740323816,Independent,Democrat,False
O000173,C001072,5,0.3245521916076541,Democrat,Democrat,False
B001281,A000370,9,0.14085810052023995,Democrat,Democrat,False
G000586,W000826,6,0.2347320904955268,Democrat,Democrat,False
M001137,A000370,3,0.02123029964665572,Democrat,Democrat,False
G000565,L000589,10,0.20572416689246892,Republican,Republican,False
A000377,C001118,4,0.26187689177459106,Republican,Republican,False
P000197,W000797,5,0.579513094201684,Democrat,Democrat,False
A000377,Z000017,8,0.5029440957587212,Republican,Republican,False
L000551,S001150,7,0.5936500664268222,Democrat,Democrat,False
