wk,n,anger,baseline,excess,spike_score,keywords,hashtags,dem_excess,rep_excess,driven_by,example_author,example,event
2011-02-14,1202,0.276,0.194,0.083,1.851,stimulus amendment debt republican spending funding cut budget jobs cuts,#gop,0.076,0.083,both,Patrick Leahy D-VT,"Attacks on civilians & #journalists in #Bahrain, #Libya, #Iran are repugnant & deserve response from world’s govts. http://bit.ly/eLRPmP",H.R.1 spending-cut fight (FY2011 budget)
2011-04-04,1810,0.304,0.191,0.112,2.708,troops shut shutdown paid gov't government govt deal dems pay,#shutdown #gopvalues #jobs #gop,0.177,0.085,Dem,Jeb Hensarling R-TX,To have the President issue a veto threat on a bill to fund our #troops is an outrage. http://bit.ly/e6ZP4H,"Near-shutdown, Apr 8 deadline"
2011-07-25,2131,0.276,0.182,0.094,2.198,boehner reid default compromise solution floor sen ceiling won't limit,#compromise #debt #gop,0.13,0.058,Dem,Jim McGovern D-MA,ON FLOOR: this process has become a joke. It is a disgrace.Time to put our country before political party; time to do what’s right.,Debt-ceiling standoff
2011-12-19,1024,0.306,0.197,0.109,2.719,extension month compromise hike bipartisan payroll extend middle cut tax,#payrolltaxcut #gop,0.183,0.056,Dem,Karen Bass D-CA,But @Speakerboehner is way out of touch. It's ridiculous behavior to continue to refuse to vote on this bill that will help 160 million ppl,Payroll-tax-cut extension fight
2012-01-16,1625,0.293,0.203,0.091,2.167,piracy sopa internet oppose online thanks strongly open current free,#pipa #sopa #keystone #keystonexl,0.046,0.111,Rep,Jackie Speier D-CA,I'm opposing #SOPA since it'd be absurd to hold YouTube accountable for every megabyte of user generated content! http://t.co/9ZBfcPDT,SOPA/PIPA blackout; Keystone XL rejected
2012-02-13,1766,0.271,0.197,0.075,1.899,stimulus unemployment failed trillion president’s deficit yrs debt obama’s spending,#obamabudgetfail #stimulusfail #tcot,0.028,0.101,Rep,Richard Hanna R-NY,I voted to extend the payroll tax cut. Raising taxes on Upstate middle class families is unacceptable. http://t.co/jBYG0tDh #NY24,Obama FY2013 budget; stimulus anniversary
2012-07-30,1861,0.256,0.192,0.064,1.688,military families hike raise taxes small tax bill voted middle,#taxhikeonheroes #middleclasstaxcuts #stopthetaxhike #smallbiz #tcot,0.05,0.068,both,Ron Kind D-WI,Tax cuts for the wealthy and asking middle class &amp; military famlies to pay more? That's just wrong. #TaxHikeonHeroes http://t.co/zsX3CL7D,Bush tax-cut extension votes
2013-02-25,4037,0.266,0.187,0.079,1.949,spent lose sequestration believe protecting face sexual fewer i’m days,#askmddems #stopthesequester #obamaquester #sequester #vawa,0.111,0.075,Dem,Sean Maloney D-NY,It’s outrageous that Congress isn’t addressing sequestration. I’d go back to Washington in a minute if House... http://t.co/mrsDDRTC0T,Sequester takes effect (Mar 1)
2013-05-13,5269,0.293,0.184,0.109,1.906,aca guilty repeal agents premiums actions based scandal beliefs conservative,#obamacareinthreewords #askcongress #repealandreplace #doj #repeal,0.049,0.154,Rep,Tom Marino R-PA,MT @sentoomey #Gosnell guilty of 1st degree murder. Acts are reprehensible. I join all in decrying sickening disregard for basic dignity.,IRS targeting + DOJ/AP + Benghazi scandals
2013-07-08,4408,0.258,0.184,0.074,1.307,permanently nutrition hungry farm farmers partisan months solution senate republicans,#farmbill #studentloan #permanentdelay #snap #gop,0.084,0.065,both,Ted Cruz R-TX,Finally some honesty about Obamacare flushing money down the toilet: http://t.co/GzFkPaVu2O #DefundObamacare,Farm bill splits off SNAP; student-loan rates double
2013-09-30,5220,0.438,0.217,0.221,3.914,troll appropriations wwii night's withheld infants hey wic memorial pregnant,#govtshutdown #nospecialtreatment #enoughalready #letstalk #gopshutdown,0.288,0.129,Dem,Mike Thompson D-CA,Even House GOP members are sick of this manufactured Tea Party shutdown.  I'm with them. End the #GOPshutdown http://t.co/2BilAXa83G,GOVERNMENT SHUTDOWN begins (Oct 1)
2014-11-17,3953,0.222,0.138,0.084,2.613,jerusalem ignore times order legal constitution pipeline authority system action,#immigrationaction #immigration #keystonexl #amnesty #obamacare,0.028,0.134,Rep,Richard Hudson R-NC,I am outraged at the President’s irresponsible ‘my way or no way’ approach to the important issue of #immigration reform.,Obama immigration executive action
2015-02-23,6123,0.238,0.161,0.076,2.506,vetoed shuts wake tired internet pipeline shutdown fcc hostage ticking,#dhsshutdown #netneutrality #keystonexl #dhs #dontshutdownoursecurity,0.089,0.067,both,Judy Chu D-CA,Let's stop playing politics with #DHSshutdown. This is unacceptable &amp; completely avoidable. @HouseGOP we need a clean bill!,DHS shutdown deadline; net-neutrality vote; Keystone veto
