mo,party,n,civic,gratitude,polarizing,any_civic_lang,any_outgroup
2011-01-01,Democrat,953,0.013641133263378805,0.02938090241343127,0.040923399790136414,0.015739769150052464,0.07660020986358866
2011-01-01,Republican,1949,0.004104669061056952,0.045664443304258596,0.03078501795792714,0.009235505387378143,0.09235505387378143
2011-02-01,Democrat,1422,0.006329113924050633,0.03305203938115331,0.0850914205344585,0.008438818565400843,0.10970464135021098
2011-02-01,Republican,2325,0.002150537634408602,0.03956989247311828,0.044731182795698925,0.003870967741935484,0.08086021505376344
2011-03-01,Democrat,2423,0.008254230293025175,0.035905901774659514,0.0730499380932728,0.010317787866281469,0.08955839867932315
2011-03-01,Republican,3374,0.005038529934795495,0.03023117960877297,0.06224066390041494,0.007705986959098993,0.11914641375222289
2011-04-01,Democrat,2063,0.010664081434803683,0.02375181774115366,0.13233155598642754,0.015026660203587009,0.16868637905962192
2011-04-01,Republican,3177,0.004721435316336166,0.036827195467422094,0.04784387787220649,0.006924771797293044,0.07932011331444759
2011-05-01,Democrat,2401,0.008746355685131196,0.043731778425655975,0.06497292794668888,0.010828821324448146,0.09204498125780924
2011-05-01,Republican,4127,0.006299975769323964,0.04119214926096438,0.026896050399806155,0.008965350133268718,0.051126726435667555
2011-06-01,Democrat,2235,0.012527964205816556,0.03668903803131991,0.04876957494407159,0.01476510067114094,0.0680089485458613
2011-06-01,Republican,3364,0.0032699167657550534,0.036860879904875146,0.03626634958382877,0.0047562425683709865,0.07342449464922711
2011-07-01,Democrat,2383,0.017205203524968526,0.03063365505665128,0.1019723038187159,0.025597985732270248,0.1409987410826689
2011-07-01,Republican,4433,0.006993006993006993,0.03293480712835552,0.06677193773967968,0.010151139183397249,0.1193322806226032
2011-08-01,Democrat,1724,0.010440835266821345,0.042923433874709975,0.02262180974477958,0.015081206496519721,0.034222737819025524
2011-08-01,Republican,2915,0.0044596912521440825,0.04631217838765009,0.027787307032590053,0.00686106346483705,0.05042881646655232
2011-09-01,Democrat,2250,0.018666666666666668,0.044,0.02666666666666667,0.024888888888888887,0.042222222222222223
2011-09-01,Republican,3320,0.011144578313253013,0.043674698795180725,0.029216867469879518,0.013855421686746987,0.07228915662650602
2011-10-01,Democrat,2742,0.012764405543398978,0.045951859956236324,0.04157549234135667,0.0175054704595186,0.05981035740335521
2011-10-01,Republican,3080,0.01396103896103896,0.03831168831168831,0.030844155844155844,0.023701298701298702,0.06103896103896104
2011-11-01,Democrat,2362,0.017781541066892465,0.0563082133784928,0.03090601185436071,0.023285351397121085,0.04276037256562235
2011-11-01,Republican,3391,0.020347979946918313,0.05337658507814804,0.028605131229725744,0.029194927749926276,0.05278678855794751
2011-12-01,Democrat,2009,0.013937282229965157,0.043802887008461924,0.09905425584868094,0.03882528621204579,0.12692882030861125
2011-12-01,Republican,3161,0.013603290098070231,0.03385004745333755,0.02847200253084467,0.019297690604239165,0.055994938310661185
2012-01-01,Democrat,2272,0.01936619718309859,0.055897887323943664,0.01936619718309859,0.028169014084507043,0.03697183098591549
2012-01-01,Republican,3730,0.010723860589812333,0.03780160857908847,0.06273458445040214,0.016621983914209115,0.11447721179624665
2012-02-01,Democrat,2681,0.013054830287206266,0.05184632599776203,0.03991048116374487,0.019022752704214847,0.05520328235732935
2012-02-01,Republican,3915,0.009450830140485313,0.038314176245210725,0.0756066411238825,0.014559386973180077,0.1136653895274585
2012-03-01,Democrat,3230,0.015170278637770897,0.05417956656346749,0.04860681114551084,0.022291021671826627,0.07027863777089784
2012-03-01,Republican,3354,0.024746571258199165,0.043231961836613,0.07930828861061419,0.028622540250447227,0.15384615384615385
2012-04-01,Democrat,2461,0.01828524989841528,0.04469727752945957,0.048354327509142626,0.023161316537992686,0.06460788297440065
2012-04-01,Republican,3244,0.006165228113440197,0.04469790382244143,0.043773119605425403,0.007090012330456227,0.07644882860665844
2012-05-01,Democrat,2784,0.016522988505747127,0.057830459770114945,0.04885057471264368,0.022988505747126436,0.0653735632183908
2012-05-01,Republican,3520,0.009375,0.04943181818181818,0.048295454545454544,0.012215909090909092,0.08210227272727273
2012-06-01,Democrat,3262,0.017167381974248927,0.05793991416309013,0.03310852237890864,0.027896995708154508,0.05303494788473329
2012-06-01,Republican,4391,0.01275335914370303,0.03894329309952175,0.0858574356638579,0.017080391710316556,0.16169437485766341
2012-07-01,Democrat,3598,0.012784880489160644,0.04613674263479711,0.0622568093385214,0.02028904947192885,0.0811561978877154
2012-07-01,Republican,3691,0.01219181793551883,0.03413709021945272,0.09482525060959089,0.01625575724735844,0.17149823895963154
2012-08-01,Democrat,2635,0.012523719165085389,0.05199240986717268,0.044781783681214424,0.01631878557874763,0.06375711574952561
2012-08-01,Republican,2598,0.006543494996150885,0.052732871439568896,0.052732871439568896,0.011162432640492687,0.08775981524249422
2012-09-01,Democrat,2684,0.021982116244411327,0.06110283159463487,0.03241430700447094,0.029806259314456036,0.045827123695976156
2012-09-01,Republican,3210,0.014953271028037384,0.06199376947040498,0.06292834890965732,0.020872274143302182,0.10404984423676013
2012-10-01,Democrat,2672,0.00561377245508982,0.05426646706586826,0.010479041916167664,0.008233532934131737,0.019835329341317365
2012-10-01,Republican,2387,0.005865102639296188,0.04608294930875576,0.057813154587348134,0.011311269375785506,0.09258483452031839
2012-11-01,Democrat,2324,0.018502581755593803,0.06325301204819277,0.021514629948364887,0.022375215146299483,0.04905335628227195
2012-11-01,Republican,2285,0.0175054704595186,0.06564551422319474,0.02363238512035011,0.02013129102844639,0.04945295404814004
2012-12-01,Democrat,2553,0.022326674500587545,0.03799451625538582,0.05405405405405406,0.031335683509596556,0.09792401096748923
2012-12-01,Republican,2238,0.01385165326184093,0.04334226988382484,0.044682752457551385,0.020107238605898123,0.06925826630920465
2013-01-01,Democrat,3897,0.030536309982037466,0.07569925583782397,0.015139851167564793,0.037464716448550164,0.030536309982037466
2013-01-01,Republican,4192,0.011927480916030535,0.05916030534351145,0.03769083969465649,0.014790076335877863,0.07824427480916031
2013-02-01,Democrat,6445,0.035531419705197825,0.06221877424359969,0.028859581070597363,0.045616757176105506,0.04840961986035686
2013-02-01,Republican,5843,0.013520451822693822,0.05185692281362314,0.06914256375149752,0.01882594557590279,0.13280848879000515
2013-03-01,Democrat,7051,0.020138987377676925,0.0649553254857467,0.01942986810381506,0.025386470004254716,0.034605020564458945
2013-03-01,Republican,6575,0.012623574144486692,0.05231939163498099,0.07011406844106464,0.015361216730038024,0.12623574144486693
2013-04-01,Democrat,6770,0.02156573116691285,0.06661742983751846,0.009158050221565732,0.025997045790251107,0.01949778434268833
2013-04-01,Republican,6629,0.009654548197314828,0.046160808568411524,0.06546990496304118,0.013124151455724846,0.09669633428873133
2013-05-01,Democrat,7669,0.020080844960229497,0.07836745338375277,0.028947711566045118,0.023992697874559918,0.043943147737645065
2013-05-01,Republican,10894,0.01009730126675234,0.052873141178630435,0.07940150541582522,0.013677253534055443,0.11997429777859372
2013-06-01,Democrat,8343,0.027807743018099004,0.061488673139158574,0.025530384753685725,0.03380079108234448,0.042071197411003236
2013-06-01,Republican,9809,0.012641451728004894,0.048322968702212254,0.05729432154144153,0.017840758487103682,0.09144663064532572
2013-07-01,Democrat,7168,0.025809151785714284,0.06417410714285714,0.041294642857142856,0.033900669642857144,0.055943080357142856
2013-07-01,Republican,7336,0.01867502726281352,0.04498364231188658,0.1480370774263904,0.02603598691384951,0.21374045801526717
2013-08-01,Democrat,4978,0.013258336681398152,0.06870229007633588,0.006629168340699076,0.016673362796303735,0.018682201687424668
2013-08-01,Republican,6021,0.009466865969108122,0.06444112273708687,0.08719481813652218,0.014947683109118086,0.13668825776449095
2013-09-01,Democrat,7358,0.016580592552324,0.05708072845882033,0.06088611035607502,0.024599075835824952,0.0756999184561022
2013-09-01,Republican,8757,0.009934909215484755,0.04442160557268471,0.16512504282288454,0.016900765102203952,0.2454036770583533
2013-10-01,Democrat,8343,0.03715689799832195,0.055136042191058374,0.0744336569579288,0.04962243797195254,0.10224139997602781
2013-10-01,Republican,8222,0.020919484310386767,0.035514473364144976,0.19265385550960837,0.029798102651423013,0.27852104110921916
2013-11-01,Democrat,8026,0.02267630201844007,0.08061300772489409,0.01669573884874159,0.02840767505606778,0.034512833291801645
2013-11-01,Republican,6909,0.010421189752496743,0.06368504848748009,0.1328701693443335,0.0166449558546823,0.2233318859458677
2013-12-01,Democrat,6536,0.023408812729498164,0.07267441860465117,0.014687882496940025,0.02799877600979192,0.028916768665850672
2013-12-01,Republican,5126,0.013655872024970737,0.0536480686695279,0.10417479516191963,0.020093640265314086,0.166601638704643
2014-01-01,Democrat,7311,0.0214744904937765,0.05881548351798659,0.027219258651347285,0.0254411161263849,0.04513746409519902
2014-01-01,Republican,5564,0.01563623292595255,0.06020848310567937,0.07260963335729691,0.019949676491732567,0.1292235801581596
2014-02-01,Democrat,8569,0.015871163496323958,0.06850274244369238,0.017271560275411366,0.019605554907223714,0.03337612323491656
2014-02-01,Republican,6825,0.010402930402930404,0.0504029304029304,0.10432234432234433,0.01391941391941392,0.14695970695970695
2014-03-01,Democrat,9994,0.018711226736041624,0.0671402841705023,0.015209125475285171,0.02231338803281969,0.026716029617770663
2014-03-01,Republican,8642,0.015737097894006017,0.06757694978014349,0.0896783152048137,0.02152279564915529,0.13214533672760934
2014-04-01,Democrat,10659,0.016324233042499296,0.06933108171498265,0.023172905525846704,0.021484191762829535,0.04390655783844638
2014-04-01,Republican,8355,0.0116098144823459,0.05182525433871933,0.0587672052663076,0.01603830041891083,0.08749251944943148
2014-05-01,Democrat,10915,0.01694915254237288,0.0711864406779661,0.022629409070087037,0.021896472743930372,0.03573064590013743
2014-05-01,Republican,9454,0.014702771313729638,0.07827374656230167,0.03342500528876666,0.020097313306536916,0.057541781256610955
2014-06-01,Democrat,10249,0.019318957947116792,0.06078641818714021,0.020099521904576055,0.02292906625036589,0.03658893550590302
2014-06-01,Republican,8353,0.013887226146294744,0.05399257751705974,0.04369687537411708,0.021549144020112536,0.07039387046570095
2014-07-01,Democrat,9431,0.020040292651892694,0.0518502809882303,0.03265825469197328,0.02682642349697805,0.0523804474605026
2014-07-01,Republican,8203,0.017432646592709985,0.04632451542118737,0.07875167621601853,0.026453736437888578,0.11337315616237961
2014-08-01,Democrat,7496,0.01200640341515475,0.0624332977588047,0.013207043756670225,0.013874066168623266,0.02387940234791889
2014-08-01,Republican,6016,0.008144946808510639,0.06881648936170212,0.04222074468085106,0.011303191489361703,0.07147606382978723
2014-09-01,Democrat,9402,0.012869602212295257,0.06690065943416294,0.012125079770261647,0.018400340353116357,0.022122952563284407
2014-09-01,Republican,7207,0.018315526571388928,0.06632440682669627,0.04662134036353545,0.024698210073539614,0.08283613153878173
2014-10-01,Democrat,8190,0.00757020757020757,0.07912087912087912,0.009157509157509158,0.010500610500610501,0.017704517704517704
2014-10-01,Republican,6018,0.012628780325689598,0.0682951146560319,0.043369890329012964,0.016782984380192757,0.0784313725490196
2014-11-01,Democrat,4674,0.017115960633290545,0.09563543003851091,0.015190415062045357,0.024818142918271287,0.031450577663671375
2014-11-01,Republican,3034,0.013843111404087014,0.04878048780487805,0.09789057350032959,0.022742254449571522,0.15919578114700067
2014-12-01,Democrat,6848,0.01854556074766355,0.06877920560747663,0.01139018691588785,0.02351051401869159,0.02117406542056075
2014-12-01,Republican,4811,0.01454998960715028,0.05965495738931615,0.06339638328829765,0.02016212845562253,0.09769278736229474
2015-01-01,Democrat,9027,0.026365348399246705,0.07134153096266756,0.03146117203943724,0.03256895978730475,0.048410324581810125
2015-01-01,Republican,9213,0.02550743514598936,0.0619776402908933,0.045370671876695974,0.03429935960056442,0.0891132095951373
2015-02-01,Democrat,5803,0.020506634499396863,0.059279682922626226,0.05790108564535585,0.025331724969843185,0.07306565569533
2015-02-01,Republican,5557,0.014396256973186972,0.06856217383480295,0.06820226741047328,0.023034011157099153,0.1085117869353968
2015-03-01,Democrat,10826,0.027341585072972473,0.07685202290781452,0.0246628486975799,0.03334564936264548,0.04036578607057085
2015-03-01,Republican,10882,0.018103289836427127,0.07259694909024077,0.0376768976291123,0.024535930895056055,0.0667156772652086
2015-04-01,Democrat,11501,0.019476567255021303,0.07042865837753239,0.014868272324145726,0.0226067298495783,0.026693331014694375
2015-04-01,Republican,10161,0.022241905324279106,0.07971656333038087,0.01692746776892038,0.027851589410491092,0.02893416002361972
2015-05-01,Democrat,10679,0.017042794269126322,0.07978275119393202,0.0140462590130162,0.022005805787058713,0.0253769079501826
2015-05-01,Republican,10375,0.017542168674698794,0.09455421686746988,0.016289156626506023,0.02313253012048193,0.033060240963855424
2015-06-01,Democrat,9348,0.016046213093709884,0.058194266153187846,0.019683354728284124,0.022143774069319642,0.03594351732991014
2015-06-01,Republican,8339,0.02110564815925171,0.06871327497301835,0.03861374265499461,0.02746132629811728,0.06727425350761482
2015-07-01,Democrat,13278,0.017849073655671035,0.0666516041572526,0.02229251393282121,0.0219159511974695,0.0447356529597831
2015-07-01,Republican,11991,0.014844466683345842,0.056959386206321405,0.020265198899174382,0.020265198899174382,0.03569343674422484
2015-08-01,Democrat,8651,0.009247485839787307,0.056294070049705235,0.022078372442492198,0.014333603051670326,0.04450352560397642
2015-08-01,Republican,7484,0.008284339925173703,0.07402458578300374,0.016568679850347406,0.01122394441475147,0.030865847140566543
2015-09-01,Democrat,5932,0.023432231962238707,0.07417397167902899,0.02983816587997303,0.03169251517194875,0.04871881321645313
2015-09-01,Republican,5772,0.01282051282051282,0.06826056826056826,0.030838530838530838,0.019404019404019403,0.04573804573804574
2015-10-01,Democrat,5959,0.03205235777815069,0.06846786373552609,0.020137606981037087,0.041617721094143315,0.03540862560832354
2015-10-01,Republican,6268,0.018506700701978303,0.059668155711550735,0.035737077217613274,0.026324186343331207,0.052967453733248245
2015-11-01,Democrat,4723,0.023502011433410967,0.07876349777683675,0.014397628625873385,0.028160067753546476,0.02180817277154351
2015-11-01,Republican,5589,0.015208445160135982,0.08105206655931294,0.035963499731615674,0.02325997495079621,0.055645016997674004
2015-12-01,Democrat,4346,0.029682466635987115,0.05821445006902899,0.019788311090658078,0.03474459272894616,0.02646111366774045
2015-12-01,Republican,4903,0.014276973281664287,0.05384458494799103,0.044666530695492555,0.01978380583316337,0.0730165204976545
2016-01-01,Democrat,6093,0.02002297718693583,0.06646971935007386,0.009519120301985885,0.0241260462826194,0.017068767438043655
2016-01-01,Republican,6568,0.00989646772228989,0.052679658952496954,0.04856881851400731,0.01766138855054811,0.08800243605359317
2016-02-01,Democrat,8349,0.02012217031979878,0.10612049347227213,0.023835189843094982,0.024314289136423525,0.03880704275961193
2016-02-01,Republican,7977,0.016672934687225773,0.06944966779491037,0.03284442772972295,0.024194559358154694,0.05302745393004889
2016-03-01,Democrat,12529,0.01476574347513768,0.09346316545614175,0.02354537473062495,0.01835741080692793,0.03966797030888339
2016-03-01,Republican,11005,0.014720581553839164,0.08069059518400727,0.025806451612903226,0.019809177646524307,0.04098137210358928
2016-04-01,Democrat,11990,0.01834862385321101,0.0817347789824854,0.01743119266055046,0.02243536280233528,0.030275229357798167
2016-04-01,Republican,10670,0.018275538894095594,0.08163074039362699,0.021930646672914715,0.02286785379568885,0.032708528584817244
2016-05-01,Democrat,11737,0.014910113316861208,0.0836670358694726,0.03084263440402147,0.0201073528158814,0.04345233023770981
2016-05-01,Republican,10975,0.01457858769931663,0.10369020501138952,0.02915717539863326,0.01886104783599089,0.04400911161731207
2016-06-01,Democrat,14760,0.015040650406504066,0.0747289972899729,0.03008130081300813,0.024119241192411923,0.03868563685636856
2016-06-01,Republican,11358,0.016728297235428773,0.07193167811234372,0.03865117098080648,0.02394787814756119,0.06154252509244585
2016-07-01,Democrat,9875,0.022582278481012658,0.060658227848101265,0.03068354430379747,0.03473417721518987,0.03868354430379747
2016-07-01,Republican,9165,0.023458810692853247,0.06797599563557011,0.021931260229132568,0.028477905073649754,0.03044189852700491
2016-08-01,Democrat,6892,0.00943122460824144,0.06688914683691236,0.01625072547881602,0.013639001741149159,0.027858386535113175
2016-08-01,Republican,6464,0.008353960396039604,0.0812190594059406,0.03078589108910891,0.012221534653465347,0.0453279702970297
2016-09-01,Democrat,11711,0.01699257108701221,0.07266672359320298,0.036205277089915465,0.02510460251046025,0.050892323456579285
2016-09-01,Republican,11379,0.01643378152737499,0.09640565954829071,0.04323754284207751,0.022761226821337553,0.06687758150979875
2016-10-01,Democrat,5195,0.011934552454282965,0.09971126082771896,0.02829643888354187,0.015399422521655439,0.03484119345524543
2016-10-01,Republican,5327,0.012014266941993618,0.09179650835366998,0.045804392716350666,0.015581002440397973,0.064952130655153
2016-11-01,Democrat,4577,0.01791566528293642,0.08979681013764475,0.062267861044352196,0.023159274634039766,0.0856456194013546
2016-11-01,Republican,4556,0.016900790166812993,0.09877085162423178,0.021729587357330993,0.019095697980684813,0.03709394205443371
2016-12-01,Democrat,7071,0.02489039739782209,0.0765096874558054,0.07014566539386226,0.039739782209022766,0.10493565266581813
2016-12-01,Republican,6540,0.018807339449541285,0.07079510703363914,0.031192660550458717,0.02507645259938838,0.045565749235474004
2017-01-01,Democrat,12020,0.014975041597337771,0.05831946755407654,0.16189683860232945,0.023044925124792014,0.2050748752079867
2017-01-01,Republican,9118,0.017986400526431235,0.07929370475981574,0.042114498793595086,0.022592673831980697,0.08060978284711559
2017-02-01,Democrat,11669,0.012083297626189048,0.05878824235152969,0.1725940526180478,0.02133858942497215,0.21767075156397292
2017-02-01,Republican,7293,0.021664609899904017,0.0781571369806664,0.027834910187851364,0.027834910187851364,0.056355409296585765
2017-03-01,Democrat,16890,0.011426879810538781,0.0526939017169923,0.27714624037892244,0.02178804026050918,0.32528123149792776
2017-03-01,Republican,9240,0.021861471861471863,0.08528138528138528,0.032467532467532464,0.027597402597402596,0.07380952380952381
2017-04-01,Democrat,11343,0.017367539451644185,0.06532663316582915,0.1606276999030239,0.029092832583972494,0.196420699991184
2017-04-01,Republican,7287,0.020310141347605323,0.08865102236860162,0.012487992315081652,0.028269521064910114,0.024975984630163303
2017-05-01,Democrat,15327,0.014158021791609578,0.056762575846545316,0.2355320675931363,0.024270894499902135,0.27702746786716254
2017-05-01,Republican,7830,0.02413793103448276,0.10051085568326948,0.022094508301404855,0.031928480204342274,0.0367816091954023
2017-06-01,Democrat,15771,0.022382854606556337,0.06093462684674402,0.2072157757910088,0.03392302327055989,0.2558493437321666
2017-06-01,Republican,9280,0.03351293103448276,0.07704741379310345,0.018642241379310344,0.04202586206896552,0.03081896551724138
2017-07-01,Democrat,15636,0.027948324379636735,0.050012790995139424,0.1910974673829624,0.04144282425172678,0.23842414939882323
2017-07-01,Republican,8493,0.025314965265512777,0.07594489579653832,0.026256917461438833,0.0315553985635229,0.04745084186977511
2017-08-01,Democrat,14092,0.020862900936701675,0.06393698552370139,0.11957138802157252,0.032997445359068976,0.15235594663638943
2017-08-01,Republican,9554,0.018526271718651875,0.09723675947247226,0.006384760309817878,0.030458446723885285,0.017270253297048357
2017-09-01,Democrat,16762,0.030127669729149265,0.0644911108459611,0.11299367617229447,0.042834983892136975,0.1435389571650161
2017-09-01,Republican,10767,0.026469768737809974,0.08089532831800873,0.008544627101328132,0.03222810439305285,0.01699637782112009
2017-10-01,Democrat,18856,0.01962240135765804,0.050487908358082305,0.11561306745863385,0.027630462452269834,0.14059185405176072
2017-10-01,Republican,9203,0.021949364337715962,0.08247310659567532,0.009236118656959688,0.028577637726828208,0.02227534499619689
2017-11-01,Democrat,12657,0.019435885280872246,0.05348818835427036,0.1520897527060125,0.031129019514892945,0.1917515999051908
2017-11-01,Republican,8119,0.028328611898016998,0.095578273186353,0.010715605370119473,0.034856509422342655,0.020692203473334156
2017-12-01,Democrat,11129,0.02147542456644802,0.04879144577230659,0.18878605445233174,0.03854793782010962,0.2265252942762153
2017-12-01,Republican,6874,0.029967995344777423,0.08612161768984579,0.0155659004946174,0.03724178062263602,0.02618562700029095
2018-01-01,Democrat,12715,0.040739284309870234,0.06047974832874558,0.2190326386158081,0.07793944160440425,0.273063311049941
2018-01-01,Republican,10250,0.03882926829268293,0.08536585365853659,0.08751219512195121,0.05404878048780488,0.11180487804878049
2018-02-01,Democrat,11778,0.03523518424180676,0.06724401426388181,0.15783664459161148,0.05883851248089659,0.1968925114620479
2018-02-01,Republican,7600,0.04302631578947368,0.10526315789473684,0.015789473684210527,0.05631578947368421,0.029605263157894735
2018-03-01,Democrat,13106,0.03425911796123913,0.09003509842820083,0.11994506332977262,0.054173660918663206,0.1493972226461163
2018-03-01,Republican,8523,0.03343892995424146,0.10759122374750675,0.013962219875630646,0.04411592162384137,0.024991200281590988
2018-04-01,Democrat,14578,0.031280010975442446,0.07058581424063658,0.12553162299355192,0.04815475373851008,0.15194128138290575
2018-04-01,Republican,9797,0.0407267530876799,0.10880881902623252,0.011840359293661324,0.05144431968970093,0.020312340512401755
2018-05-01,Democrat,14950,0.030301003344481606,0.09331103678929765,0.13872909698996655,0.05070234113712375,0.16755852842809366
2018-05-01,Republican,10097,0.0460532831534119,0.1318213330692285,0.013271268693671387,0.057739922749331485,0.02396751510349609
2018-06-01,Democrat,13974,0.02769428939458995,0.0516673822813797,0.21904966366108486,0.05309861170745671,0.25368541577214826
2018-06-01,Republican,8531,0.046301723127417656,0.09963661938811394,0.016645176415426094,0.058375337006212634,0.027546594772007972
2018-07-01,Democrat,14932,0.025850522368068576,0.05746048754353067,0.2350656308598982,0.04667827484596839,0.2727029199035628
2018-07-01,Republican,9359,0.046479324714178864,0.10545998504113688,0.024147879046906722,0.061438187840581256,0.038038251949994654
2018-08-01,Democrat,12622,0.024164157819679923,0.06908572334019965,0.16764379654571385,0.04000950720963397,0.19687846617017904
2018-08-01,Republican,8308,0.0343042850264805,0.13842079922965816,0.014082811747713048,0.044174289841116994,0.02636013480982186
2018-09-01,Democrat,12706,0.031874704863843854,0.07500393514874862,0.16590587124193296,0.04800881473319692,0.19652132850621754
2018-09-01,Republican,10189,0.04750220826381392,0.11463342820688978,0.016979095102561587,0.05770929433703013,0.02600844047502208
2018-10-01,Democrat,13421,0.03300797258028463,0.08680426197749795,0.17033007972580286,0.05312569853215111,0.20065568884583862
2018-10-01,Republican,9527,0.04502991497848221,0.12700745250341136,0.023092264091529337,0.05657604702424688,0.03579300934187047
2018-11-01,Democrat,11824,0.035520974289580516,0.08914073071718538,0.13388024357239514,0.053704330175913396,0.1625507442489851
2018-11-01,Republican,6110,0.040589198036006545,0.13682487725040918,0.016039279869067103,0.049754500818330605,0.028477905073649754
2018-12-01,Democrat,12338,0.039552601718268764,0.06605608688604311,0.19670935321770142,0.06532663316582915,0.22694115739990273
2018-12-01,Republican,6394,0.04222708789490147,0.10228339067876134,0.034563653425086015,0.05739756021269941,0.051454488583046604
2019-01-01,Democrat,24708,0.031973449894770925,0.07762667961793751,0.2349846203658734,0.056945118989800876,0.26655334304678646
2019-01-01,Republican,11293,0.04879128663774019,0.09120694235367041,0.09784822456388914,0.06756397768529178,0.14336314531125477
