year,distance,biggest_gap,gap_sign,gap_anger,gap_disgust,gap_fear,gap_sadness,gap_joy,gap_optimism,gap_love,gap_trust,gap_anticipation,gap_pessimism,gap_surprise
2011,0.06287256104234867,optimism,Democrats higher,0.013814313731349614,0.007997933351474723,0.014403131085406876,0.005575995011556409,0.02923171403038438,0.03546976422102971,0.006100929152994525,0.003647981450553353,-0.0350744198821189,0.0019186065013772624,-0.00791153964860207
2012,0.13530100957616936,optimism,Democrats higher,-0.03443431746895842,-0.047422417326069916,-0.006077898637888629,-0.020805885424819592,0.07620758534455241,0.08817561309019711,0.013144582657185155,0.020334665484278397,-0.0076237897732697735,-0.011466384805203886,-0.006596662420503038
2013,0.16128202283169008,optimism,Democrats higher,-0.053004398795143126,-0.06351692983192711,-0.011713904641051848,-0.012019456827652666,0.08628959213221493,0.09862343311979488,0.024437635684009945,0.023811510859258853,-0.019801393516234,-0.007220539672743664,-0.010268815956464145
2014,0.13646148044970413,optimism,Democrats higher,-0.048724862256609214,-0.05460038904125819,-0.021456195374058032,0.00020584862422942662,0.06045112666225022,0.08870343650293289,0.019432159276953034,0.02159467300608206,-0.017119398570058175,-0.001528682202293713,-0.01200093797629935
2015,0.08163590650423852,optimism,Democrats higher,-0.009480962706721913,-0.010748563672474315,0.0013447355387963128,0.017595694589198435,0.015418994452454649,0.06287598720778786,0.00664461825511467,0.01713580276988419,-0.03642266366640301,0.009131423446370093,-0.014445380086363313
2016,0.08346438840139281,anger,Democrats higher,0.04122465956694285,0.033415434735495714,0.01842643386598787,0.019218503373828244,-0.03254820908014344,0.02604494782532696,-0.006864443349631655,0.008249048625479732,-0.03534848307607863,0.012491961245134187,-0.01352401569409982
2017,0.4653403263588551,anger,Democrats higher,0.24015621791799235,0.23451250143005992,0.0675337572127029,0.07948313050577495,-0.2332370533739032,-0.15751179832686585,-0.0590601774084618,-0.03859119512431543,-0.08260170182909415,0.04108096125514689,-0.01716273602283923
2018,0.4393847712125547,anger,Democrats higher,0.22761321911871915,0.21874435599990782,0.08583040644821383,0.07753353821299538,-0.2227091694556116,-0.14044653366043436,-0.05788743420959375,-0.030570062762835942,-0.06539604779770808,0.04446882776470097,-0.012632960514328606
2019,0.15986227008888743,joy,Republicans higher,0.0724106678332444,0.06886959670576193,0.05773167553776662,0.048484195690929696,-0.08343921385372755,-0.01611952686560525,-0.02505501868733155,0.0028342367758424636,-0.03408218713401806,0.02732221200697972,-0.010960313685822037
2020,0.12695310809965546,joy,Republicans higher,0.02962910838048549,0.03555506446309836,0.04949662316074829,0.05233908894669351,-0.08053857384885055,-0.02219022354141187,-0.02336247655707989,-0.0062315491387795185,-0.01201193334372569,0.03152136049666229,-0.00918482027531211
2021,0.39257081772072044,optimism,Democrats higher,-0.18794398533791123,-0.1978679895893068,-0.026915728607055767,-0.045960675604059115,0.14654321231601325,0.2171658548603515,0.01501155169664431,0.06900553963630433,0.053293500806358196,-0.01723098652822154,-0.006339317453704946
2022,0.40384772706116023,optimism,Democrats higher,-0.183520555303534,-0.19735863152328756,-0.0290506118510466,-0.06481172541302457,0.16149977491702966,0.22350634210205828,0.02956439658121726,0.0705780204197755,0.053089946345614314,-0.02623202163039831,-0.004362460933055118
2023,0.267746961638683,optimism,Democrats higher,-0.12334557853589706,-0.12880646745703211,-0.021883775730063476,-0.013034668806618827,0.10931478017011387,0.15650332704149056,0.022347194339753074,0.044644144912340034,0.01479886994597579,-0.0034285724253678845,-0.008253754507321333
2024,0.35297089147837385,optimism,Democrats higher,-0.16189283759152148,-0.16847565733257056,-0.04158511424328601,-0.038955733357882105,0.1507416858664719,0.19475403370017563,0.03690057752583965,0.05748954543394956,0.03482300825658291,-0.013886435823162915,-0.004886348910707786
2025,0.31216518912014196,disgust,Democrats higher,0.14625241520945925,0.1558217844936638,0.06804270734896534,0.08485623196476991,-0.1411185274343037,-0.11606125369518988,-0.030283928014519262,-0.03561697582922779,-0.052069275618432304,0.03998858914050238,-0.008116791963467748
2026,0.29261208740904643,disgust,Democrats higher,0.1500107827087107,0.1539904643761527,0.07739654288567366,0.07291354317074525,-0.11488819660366506,-0.09421503919737378,-0.02366689915748521,-0.02966848554241562,-0.05812194285684702,0.033755002831658026,-0.008077938122701203
